flight_pk,parameter,phases,value
8298061,Roll Rate,Taxiing,-0.050544966105482717
8298061,Roll Rate,Descent,0.00109531368014
8298061,Roll Rate,Grounded,-0.036960627069536421
8298061,Roll Rate,Fast,0.000169037319537
8298061,Roll Rate,Final Approach,0.184151785714
8298061,Roll Rate,Landing,0.00378838900862
8298061,Roll Rate,Approach,0.0810181201817
8298061,Roll Rate,Taxi Out,-0.00753348214286
8298061,Roll Rate,Approach And Landing,0.0617692854021
8298061,Roll Rate,Descending,-0.00373822712182
8298061,Roll Rate,Climbing,-0.000888014086788
8298061,Roll Rate,Turning On Ground,-0.3573959485619469
8298061,Roll Rate,Mobile,-0.0018536323196857891
8298061,Roll Rate,Takeoff,0.0154807350852
8298061,Roll Rate,Climb Cruise Descent,9.45107751075e-05
8298061,Roll Rate,Takeoff Rotation,0.0421875
8298061,Roll Rate,Airborne,9.45107751075e-05
8298061,Roll Rate,Climb,0.00500455378201
8298061,Roll Rate,Level Flight,-7.68274694056e-05
8298061,Roll Rate,Landing Roll,-0.0714111328125
8298061,Roll Rate,Takeoff Roll,0.0205550655242
8298061,Roll Rate,Cruise,-7.07604443783e-05
8298061,Roll Rate,Turning In Air,0.244284237132
8298061,Counter,Taxiing,1274.1492891
8298061,Counter,Descent,2543.5
8298061,Counter,Grounded,1398.7124060150377
8298061,Counter,Fast,2092.79338595
8298061,Counter,Final Approach,3150.5
8298061,Counter,Landing,3221.5
8298061,Counter,Approach,3078.0
8298061,Counter,Taxi Out,1236.0
8298061,Counter,Approach And Landing,3107.5
8298061,Counter,Descending,2537.4395689
8298061,Counter,Climbing,1889.96580311
8298061,Counter,Turning On Ground,1244.91525424
8298061,Counter,Mobile,2062.78591147
8298061,Counter,Takeoff,1381.5
8298061,Counter,Climb Cruise Descent,2093.63158948
8298061,Counter,Takeoff Rotation,1403.0
8298061,Counter,Airborne,2093.63158948
8298061,Counter,Climb,2189.5
8298061,Counter,Level Flight,1995.47286713
8298061,Counter,Landing Roll,3200.5
8298061,Counter,Takeoff Roll,1388.0
8298061,Counter,Cruise,1994.72066648
8298061,Counter,Turning In Air,2684.01960784
8298019,Roll Rate,Taxiing,-0.00452112268519
