flight_pk,parameter,phases,value
8310299,Decision Height,Taxi Out,0
8310299,Decision Height,Climb Cruise Descent,0
8310299,Decision Height,Taxiing,0
8310299,Decision Height,Turning In Air,0
8310299,Decision Height,Descent,0
8310299,Decision Height,Grounded,0
8310299,Decision Height,Mobile,0
8310299,Decision Height,Level Flight,0
8310299,Decision Height,Cruise,0
8310299,Decision Height,Taxi In,0
8310299,Decision Height,Airborne,0
8310299,Decision Height,Final Approach,0
8310299,Decision Height,Descending,0
8310299,Decision Height,Approach And Landing,0
8310299,Decision Height,Takeoff,0
8310299,Decision Height,Climbing,0
8310299,Decision Height,Climb,0
8310299,Decision Height,Landing,0
8310299,Decision Height,Approach,0
8310299,Decision Height,Fast,0
8310299,Side Slip Estimated,Taxiing,0
8310299,Side Slip Estimated,Descent,-0.218736093
8310299,Side Slip Estimated,Grounded,-0.000634921
8310299,Side Slip Estimated,Airborne,-0.164255437
8310299,Side Slip Estimated,Final Approach,0.233333333
8310299,Side Slip Estimated,Landing,-0.0234375
8310299,Side Slip Estimated,Approach,-0.025943396
8310299,Side Slip Estimated,Taxi Out,0
8310299,Side Slip Estimated,Approach And Landing,-0.023460411
8310299,Side Slip Estimated,Descending,-0.235276442
8310299,Side Slip Estimated,Climbing,-0.162085691
8310299,Side Slip Estimated,Turning On Ground,0
8310299,Side Slip Estimated,Mobile,-0.153191855
8310299,Side Slip Estimated,Cruise,-0.157723087
8310299,Side Slip Estimated,Climb Cruise Descent,-0.164216929
8310299,Side Slip Estimated,Takeoff Rotation,-0.26
8310299,Side Slip Estimated,Fast,-0.163969101
8310299,Side Slip Estimated,Climb,-0.162310287
8310299,Side Slip Estimated,Level Flight,-0.156726506
8310299,Side Slip Estimated,Turning In Air,-0.178082192
8310299,Side Slip Estimated,Takeoff Roll,0
8310299,Side Slip Estimated,Taxi In,0
8310299,Side Slip Estimated,Takeoff,-0.010204082
8310299,Side Slip Estimated,Landing Roll,0
8310299,Vn-s,Taxiing,-2.917575503
8310299,Vn-s,Descent,-245.1758918
8310299,Vn-s,Grounded,-0.037619048
8310299,Vn-s,Airborne,-107.6972593
8310299,Vn-s,Final Approach,136.4666667
8310299,Vn-s,Landing,38.234375
8310299,Vn-s,Approach,150.8349057
8310299,Vn-s,Taxi Out,-0.978901274
8310299,Vn-s,Approach And Landing,108.5087977
8310299,Vn-s,Descending,-259.8217998
8310299,Vn-s,Climbing,150.4892627
8310299,Vn-s,Turning On Ground,-1.766666667
8310299,Vn-s,Mobile,-100.6028427
8310299,Vn-s,Cruise,-109.3403412
8310299,Vn-s,Climb Cruise Descent,-107.7078123
8310299,Vn-s,Takeoff Rotation,-14.21
8310299,Vn-s,Fast,-107.4150004
8310299,Vn-s,Climb,160.1389299
8310299,Vn-s,Level Flight,-111.8815194
8310299,Vn-s,Turning In Air,36.55821918
8310299,Vn-s,Takeoff Roll,-8.486486486
8310299,Vn-s,Taxi In,-4.001373626
8310299,Vn-s,Takeoff,-4.298469388
8310299,Vn-s,Landing Roll,90.82142857
8310299,Engine N1 Thrust Target,Taxiing,26.20875421
8310299,Engine N1 Thrust Target,Descent,52.71967213
8310299,Engine N1 Thrust Target,Grounded,28.62182741
8310299,Engine N1 Thrust Target,Airborne,90.41520258
8310299,Engine N1 Thrust Target,Final Approach,50.22222222
8310299,Engine N1 Thrust Target,Landing,34.5625
8310299,Engine N1 Thrust Target,Approach,41.28301887
8310299,Engine N1 Thrust Target,Taxi Out,26.9044586
8310299,Engine N1 Thrust Target,Approach And Landing,38.75294118
8310299,Engine N1 Thrust Target,Descending,45.65283843
8310299,Engine N1 Thrust Target,Climbing,100.9770774
8310299,Engine N1 Thrust Target,Turning On Ground,26.18181818
8310299,Engine N1 Thrust Target,Mobile,86.34918774
8310299,Engine N1 Thrust Target,Cruise,94.60480208
8310299,Engine N1 Thrust Target,Climb Cruise Descent,90.41520258
8310299,Engine N1 Thrust Target,Takeoff Rotation,98
8310299,Engine N1 Thrust Target,Fast,90.39738773
8310299,Engine N1 Thrust Target,Climb,100.9852071
8310299,Engine N1 Thrust Target,Level Flight,93.83649542
8310299,Engine N1 Thrust Target,Turning In Air,58.63157895
8310299,Engine N1 Thrust Target,Takeoff Roll,97.8
8310299,Engine N1 Thrust Target,Taxi In,25.50549451
8310299,Engine N1 Thrust Target,Takeoff,59.44
8310299,Engine N1 Thrust Target,Landing Roll,61.4
8310299,Roll Rate,Taxiing,-5.53E-05
8310299,Roll Rate,Descent,-0.000468462
8310299,Roll Rate,Grounded,0.000265657
8310299,Roll Rate,Airborne,1.28E-05
8310299,Roll Rate,Final Approach,0.024609375
8310299,Roll Rate,Landing,-0.004291534
8310299,Roll Rate,Approach,-0.016894071
8310299,Roll Rate,Taxi Out,0.000559813
8310299,Roll Rate,Approach And Landing,-0.01095411
8310299,Roll Rate,Descending,0.019159964
8310299,Roll Rate,Climbing,0.000251655
8310299,Roll Rate,Turning On Ground,-0.012695313
8310299,Roll Rate,Mobile,2.94E-05
8310299,Roll Rate,Cruise,3.68E-05
8310299,Roll Rate,Climb Cruise Descent,-3.05E-05
8310299,Roll Rate,Takeoff Rotation,-0.019335938
8310299,Roll Rate,Fast,-8.85E-06
8310299,Roll Rate,Climb,-0.001054039
8310299,Roll Rate,Level Flight,-0.001456182
8310299,Roll Rate,Turning In Air,-0.178490208
8310299,Roll Rate,Takeoff Roll,-0.015440245
8310299,Roll Rate,Taxi In,0.000150963
8310299,Roll Rate,Takeoff,-0.001835836
8310299,Roll Rate,Landing Roll,-0.013602121
8310299,Pitch Rate,Taxiing,0.000230418
8310299,Pitch Rate,Descent,0.00100449
8310299,Pitch Rate,Grounded,0.002055022
8310299,Pitch Rate,Airborne,-0.00014724
8310299,Pitch Rate,Final Approach,0.008496094
8310299,Pitch Rate,Landing,-0.028324127
8310299,Pitch Rate,Approach,-0.004456718
8310299,Pitch Rate,Taxi Out,-0.001119626
8310299,Pitch Rate,Approach And Landing,-0.012371701
8310299,Pitch Rate,Descending,0.003575966
8310299,Pitch Rate,Climbing,-0.004191634
8310299,Pitch Rate,Turning On Ground,0.03125
8310299,Pitch Rate,Mobile,-2.30E-06
8310299,Pitch Rate,Cruise,-3.80E-05
8310299,Pitch Rate,Climb Cruise Descent,-0.000126071
8310299,Pitch Rate,Takeoff Rotation,0.638964844
8310299,Pitch Rate,Fast,0
8310299,Pitch Rate,Climb,-0.008383663
8310299,Pitch Rate,Level Flight,-0.000187876
8310299,Pitch Rate,Turning In Air,0.074345837
8310299,Pitch Rate,Takeoff Roll,0.098283098
8310299,Pitch Rate,Taxi In,0.000482998
8310299,Pitch Rate,Takeoff,0.12054881
8310299,Pitch Rate,Landing Roll,-0.154854911
8310299,Yaw Damper Order,Taxiing,-0.073438811
8310299,Yaw Damper Order,Descent,-0.068467482
8310299,Yaw Damper Order,Grounded,-0.045424107
8310299,Yaw Damper Order,Airborne,-0.044138332
8310299,Yaw Damper Order,Final Approach,-0.031640625
8310299,Yaw Damper Order,Landing,-0.156898499
8310299,Yaw Damper Order,Approach,-0.01844874
8310299,Yaw Damper Order,Taxi Out,-0.120359773
8310299,Yaw Damper Order,Approach And Landing,-0.069977433
8310299,Yaw Damper Order,Descending,-0.066014129
