flight_pk,parameter,phases,value
8321754,Speedbrake,Taxiing,0.356186813187
8321754,Speedbrake,Descent,6.40546492729
8321754,Speedbrake,Grounded,1.7117942122186514
8321754,Speedbrake,Airborne,1.00456118392
8321754,Speedbrake,Final Approach,16.78191
8321754,Speedbrake,Approach And Landing,23.8884422111
8321754,Speedbrake,Approach,11.0126232877
8321754,Speedbrake,Taxi Out,-0.064375
8321754,Speedbrake,Landing,59.3566730769
8321754,Speedbrake,Descending,8.01942812887
8321754,Speedbrake,Climbing,-0.0689936585366
8321754,Speedbrake,Turning On Ground,-0.0964166666667
8321754,Speedbrake,Mobile,1.28331833582
8321754,Speedbrake,Cruise,-0.144165532178
8321754,Speedbrake,Climb Cruise Descent,0.996132714686
8321754,Speedbrake,Takeoff Rotation,-0.09386
8321754,Speedbrake,Fast,1.10466876833
8321754,Speedbrake,Climb,-0.0318612990528
8321754,Speedbrake,Level Flight,-0.144138464756
8321754,Speedbrake,Turning In Air,-0.0187672413793
8321754,Speedbrake,Takeoff Roll,-0.121
8321754,Speedbrake,Taxi In,0.778555066079
8321754,Speedbrake,Takeoff,-0.0876369047619
8321754,Speedbrake,Landing Roll,59.5119090909
8321754,Engine Target Thrust,Taxiing,125.952576754
8321754,Engine Target Thrust,Descent,53.7655982906
8321754,Engine Target Thrust,Grounded,125.45637853470437
8321754,Engine Target Thrust,Airborne,83.1598858616
8321754,Engine Target Thrust,Final Approach,119.625
8321754,Engine Target Thrust,Approach And Landing,104.311237374
8321754,Engine Target Thrust,Approach,95.8964041096
8321754,Engine Target Thrust,Taxi Out,124.102224576
8321754,Engine Target Thrust,Landing,127.9375
8321754,Engine Target Thrust,Descending,52.0638923267
8321754,Engine Target Thrust,Climbing,89.1772460938
8321754,Engine Target Thrust,Turning On Ground,127.9375
8321754,Engine Target Thrust,Mobile,86.216548103
8321754,Engine Target Thrust,Cruise,89.5464624587
8321754,Engine Target Thrust,Climb Cruise Descent,83.1598858616
8321754,Engine Target Thrust,Takeoff Rotation,62.5885416667
8321754,Engine Target Thrust,Fast,83.2501832845
8321754,Engine Target Thrust,Climb,90.5281165312
8321754,Engine Target Thrust,Level Flight,86.6884671685
8321754,Engine Target Thrust,Turning In Air,85.8340517241
8321754,Engine Target Thrust,Takeoff Roll,92.0833333333
8321754,Engine Target Thrust,Taxi In,127.9375
8321754,Engine Target Thrust,Takeoff,90.6681547619
8321754,Engine Target Thrust,Landing Roll,127.9375
8321754,Track,Taxiing,214.18680044444454
8321754,Track,Descent,126.589467772
8321754,Track,Grounded,184.08507477154052
8321754,Track,Airborne,141.39068085
8321754,Track,Final Approach,332.479853
8321754,Track,Approach And Landing,331.919297362
8321754,Track,Approach,332.502273459
8321754,Track,Taxi Out,243.663360169
8321754,Track,Landing,330.269815385
8321754,Track,Descending,119.483046995
8321754,Track,Climbing,185.915748854
8321754,Track,Turning On Ground,245.72586
8321754,Track,Mobile,146.15873736606545
8321754,Track,Cruise,123.232259612
8321754,Track,Climb Cruise Descent,141.370950762
8321754,Track,Takeoff Rotation,83.382129
8321754,Track,Fast,141.582012991
8321754,Track,Climb,286.365359608
8321754,Track,Level Flight,133.023991806
8321754,Track,Turning In Air,131.207026293
8321754,Track,Takeoff Roll,83.4736133333
8321754,Track,Taxi In,175.3134443438916
8321754,Track,Takeoff,87.1878666667
8321754,Track,Landing Roll,332.762506818
8321754,Minute Second,Taxiing,11.4912280702
8321754,Minute Second,Descent,49.614334471
8321754,Minute Second,Grounded,30.424164524421595
8321754,Minute Second,Airborne,40.5842167256
8321754,Minute Second,Final Approach,8.76
8321754,Minute Second,Approach And Landing,8.42857142857
8321754,Minute Second,Approach,8.22222222222
8321754,Minute Second,Taxi Out,12.3220338983
8321754,Minute Second,Landing,9.0
8321754,Minute Second,Descending,58.2277227723
8321754,Minute Second,Climbing,24.6015625
8321754,Minute Second,Turning On Ground,11.5
8321754,Minute Second,Mobile,38.3235772358
8321754,Minute Second,Cruise,40.8894389439
8321754,Minute Second,Climb Cruise Descent,40.5842167256
8321754,Minute Second,Takeoff Rotation,19.0
8321754,Minute Second,Fast,40.4780058651
8321754,Minute Second,Climb,25.25
8321754,Minute Second,Level Flight,41.5367892977
8321754,Minute Second,Turning In Air,16.8666666667
8321754,Minute Second,Takeoff Roll,18.75
8321754,Minute Second,Taxi In,10.7894736842
8321754,Minute Second,Takeoff,17.7619047619
8321754,Minute Second,Landing Roll,9.0
8321754,Day Recorded,Taxiing,5.0
8321754,Day Recorded,Descent,5.0
8321754,Day Recorded,Grounded,5.0
8321754,Day Recorded,Airborne,5.0
8321754,Day Recorded,Final Approach,5.0
8321754,Day Recorded,Approach And Landing,5.0
8321754,Day Recorded,Approach,5.0
8321754,Day Recorded,Taxi Out,5.0
8321754,Day Recorded,Landing,5.0
8321754,Day Recorded,Descending,5.0
8321754,Day Recorded,Climbing,5.0
8321754,Day Recorded,Turning On Ground,5.0
8321754,Day Recorded,Mobile,5.0
8321754,Day Recorded,Cruise,5.0
8321754,Day Recorded,Climb Cruise Descent,5.0
8321754,Day Recorded,Fast,5.0
8321754,Day Recorded,Climb,5.0
8321754,Day Recorded,Level Flight,5.0
8321754,Day Recorded,Takeoff Roll,5.0
8321754,Day Recorded,Taxi In,5.0
8321754,Day Recorded,Takeoff,5.0
8321754,Day Recorded,Turning In Air,5.0
8321754,Month Recorded,Taxiing,2.0
8321754,Month Recorded,Descent,2.0
8321754,Month Recorded,Grounded,2.0
8321754,Month Recorded,Airborne,2.0
8321754,Month Recorded,Final Approach,2.0
8321754,Month Recorded,Approach And Landing,2.0
8321754,Month Recorded,Approach,2.0
8321754,Month Recorded,Taxi Out,2.0
8321754,Month Recorded,Landing,2.0
8321754,Month Recorded,Descending,2.0
8321754,Month Recorded,Climbing,2.0
8321754,Month Recorded,Turning On Ground,2.0
8321754,Month Recorded,Mobile,2.0
8321754,Month Recorded,Cruise,2.0
8321754,Month Recorded,Climb Cruise Descent,2.0
8321754,Month Recorded,Fast,2.0
8321754,Month Recorded,Climb,2.0
8321754,Month Recorded,Level Flight,2.0
8321754,Month Recorded,Takeoff Roll,2.0
8321754,Month Recorded,Taxi In,2.0
8321754,Month Recorded,Takeoff,2.0
8321754,Month Recorded,Turning In Air,2.0
8321754,Roll Rate,Taxiing,0.00097666666666665629
8321754,Roll Rate,Descent,0.000601539777588
8321754,Roll Rate,Grounded,0.00149323750408363
8321754,Roll Rate,Airborne,-0.000258872036519
8321754,Roll Rate,Final Approach,0.00879
8321754,Roll Rate,Approach And Landing,-0.00574221105528
8321754,Roll Rate,Approach,0.00210719178082
8321754,Roll Rate,Taxi Out,-0.00279343220339
8321754,Roll Rate,Landing,-0.021975
8321754,Roll Rate,Descending,-0.0125804832714
8321754,Roll Rate,Climbing,0.0222537073171
8321754,Roll Rate,Turning On Ground,0.051275
8321754,Roll Rate,Mobile,4.7697212236314265e-05
8321754,Roll Rate,Cruise,-0.000126918316832
