flight_pk,parameter,phases,value
8334210,Speedbrake,Taxiing,0.616291606368
8334210,Speedbrake,Descent,0.888414779499
8334210,Speedbrake,Grounded,1.4761306340718106
8334210,Speedbrake,Airborne,0.166472361809
8334210,Speedbrake,Final Approach,0.0
8334210,Speedbrake,Landing,37.6599375
8334210,Speedbrake,Approach,4.73314393939
8334210,Speedbrake,Taxi Out,0.0
8334210,Speedbrake,Approach And Landing,8.61580251479
8334210,Speedbrake,Descending,0.208041294643
8334210,Speedbrake,Climbing,0.0
8334210,Speedbrake,Turning On Ground,0.0
8334210,Speedbrake,Mobile,0.334671001173
8334210,Speedbrake,Cruise,0.0
8334210,Speedbrake,Climb Cruise Descent,0.166490953764
8334210,Speedbrake,Takeoff Rotation,0.0
8334210,Speedbrake,Fast,0.239435331406
8334210,Speedbrake,Climb,0.0
8334210,Speedbrake,Level Flight,0.0
8334210,Speedbrake,Landing Roll,49.6501293103
8334210,Speedbrake,Takeoff Roll,0.0
8334210,Speedbrake,Taxi In,2.91683219178
8334210,Speedbrake,Takeoff,0.0
8334210,Speedbrake,Turning In Air,0.0
8334210,Track,Taxiing,90.841140747070313
8334210,Track,Descent,260.898815787
8334210,Track,Grounded,140.95231533050537
8334210,Track,Airborne,250.711533743
8334210,Track,Final Approach,171.870117188
8334210,Track,Landing,163.064025879
8334210,Track,Approach,203.305886009
8334210,Track,Taxi Out,64.41587250808189
8334210,Track,Approach And Landing,198.449295315
8334210,Track,Descending,257.630718776
8334210,Track,Climbing,246.997395439
8334210,Track,Turning On Ground,98.224199403007077
8334210,Track,Mobile,239.39182279961517
8334210,Track,Cruise,248.919442237
8334210,Track,Climb Cruise Descent,250.720223569
8334210,Track,Takeoff Rotation,183.648339844
8334210,Track,Fast,250.415030103
8334210,Track,Climb,247.549438477
8334210,Track,Level Flight,250.479683568
8334210,Track,Landing Roll,159.398361732
8334210,Track,Takeoff Roll,183.33670479910714
8334210,Track,Taxi In,150.06986177884616
8334210,Track,Takeoff,182.04586866425305
8334210,Track,Turning In Air,221.656036377
8334210,Rudder Travel Limit,Taxiing,33.75
8334210,Rudder Travel Limit,Descent,9.03464839094
8334210,Rudder Travel Limit,Grounded,33.75
8334210,Rudder Travel Limit,Airborne,6.9551959799
8334210,Rudder Travel Limit,Final Approach,28.7710344828
8334210,Rudder Travel Limit,Landing,33.51375
8334210,Rudder Travel Limit,Approach,20.806969697
8334210,Rudder Travel Limit,Taxi Out,33.75
8334210,Rudder Travel Limit,Approach And Landing,22.3373076923
8334210,Rudder Travel Limit,Descending,9.28747767857
8334210,Rudder Travel Limit,Climbing,6.67489104116
8334210,Rudder Travel Limit,Turning On Ground,33.75
8334210,Rudder Travel Limit,Mobile,10.2901378569
8334210,Rudder Travel Limit,Cruise,6.42070805541
8334210,Rudder Travel Limit,Climb Cruise Descent,6.95220348448
8334210,Rudder Travel Limit,Takeoff Rotation,24.3936
8334210,Rudder Travel Limit,Fast,7.06545040036
8334210,Rudder Travel Limit,Climb,6.51772532189
8334210,Rudder Travel Limit,Level Flight,6.41810188989
8334210,Rudder Travel Limit,Landing Roll,33.75
8334210,Rudder Travel Limit,Takeoff Roll,33.75
8334210,Rudder Travel Limit,Taxi In,33.75
8334210,Rudder Travel Limit,Takeoff,33.6757142857
8334210,Rudder Travel Limit,Turning In Air,16.0059375
8334210,Zero Fuel Weight,Taxiing,28531.4561897
8334210,Zero Fuel Weight,Descent,28531.4561897
8334210,Zero Fuel Weight,Grounded,28531.4561897
8334210,Zero Fuel Weight,Airborne,28531.4561897
8334210,Zero Fuel Weight,Final Approach,28531.4561897
8334210,Zero Fuel Weight,Landing,28531.4561897
8334210,Zero Fuel Weight,Approach,28531.4561897
8334210,Zero Fuel Weight,Taxi Out,28531.4561897
8334210,Zero Fuel Weight,Approach And Landing,28531.4561897
8334210,Zero Fuel Weight,Descending,28531.4561897
8334210,Zero Fuel Weight,Climbing,28531.4561897
8334210,Zero Fuel Weight,Turning On Ground,28531.4561897
8334210,Zero Fuel Weight,Mobile,28531.4561897
8334210,Zero Fuel Weight,Cruise,28531.4561897
8334210,Zero Fuel Weight,Climb Cruise Descent,28531.4561897
8334210,Zero Fuel Weight,Takeoff Rotation,28531.4561897
8334210,Zero Fuel Weight,Fast,28531.4561897
8334210,Zero Fuel Weight,Climb,28531.4561897
8334210,Zero Fuel Weight,Level Flight,28531.4561897
8334210,Zero Fuel Weight,Landing Roll,28531.4561897
8334210,Zero Fuel Weight,Takeoff Roll,28531.4561897
8334210,Zero Fuel Weight,Taxi In,28531.4561897
8334210,Zero Fuel Weight,Takeoff,28531.4561897
8334210,Zero Fuel Weight,Turning In Air,28531.4561897
8334210,Rudder Trim Actuator,Taxiing,-0.0147534008683
8334210,Rudder Trim Actuator,Descent,-0.0521224076281
8334210,Rudder Trim Actuator,Grounded,-0.015707257448433917
8334210,Rudder Trim Actuator,Airborne,0.0178994974874
8334210,Rudder Trim Actuator,Final Approach,-0.0466206896552
8334210,Rudder Trim Actuator,Landing,0.022425
8334210,Rudder Trim Actuator,Approach,-0.0466949494949
8334210,Rudder Trim Actuator,Taxi Out,-0.0480155844156
8334210,Rudder Trim Actuator,Approach And Landing,-0.0385153846154
8334210,Rudder Trim Actuator,Descending,-0.0527022321429
8334210,Rudder Trim Actuator,Climbing,0.059592251816
8334210,Rudder Trim Actuator,Turning On Ground,0.0540264705882
8334210,Rudder Trim Actuator,Mobile,0.0135859405553
8334210,Rudder Trim Actuator,Cruise,0.0282918419702
8334210,Rudder Trim Actuator,Climb Cruise Descent,0.0179067232522
8334210,Rudder Trim Actuator,Takeoff Rotation,0.093912
8334210,Rudder Trim Actuator,Fast,0.0179403469751
8334210,Rudder Trim Actuator,Climb,0.0570660944206
8334210,Rudder Trim Actuator,Level Flight,0.0252163681183
8334210,Rudder Trim Actuator,Landing Roll,0.0481448275862
8334210,Rudder Trim Actuator,Takeoff Roll,0.0172864864865
8334210,Rudder Trim Actuator,Taxi In,0.110909589041
8334210,Rudder Trim Actuator,Takeoff,0.00160952380952
8334210,Rudder Trim Actuator,Turning In Air,-0.0468
8334210,Vertical Speed Inertial Recorded,Taxiing,-7.46355685131
8334210,Vertical Speed Inertial Recorded,Descent,-1200.55303933
8334210,Vertical Speed Inertial Recorded,Grounded,-10.332824427480917
8334210,Vertical Speed Inertial Recorded,Airborne,-7.70515970516
8334210,Vertical Speed Inertial Recorded,Final Approach,-659.272727273
8334210,Vertical Speed Inertial Recorded,Landing,-181.6
8334210,Vertical Speed Inertial Recorded,Approach,-601.405405405
8334210,Vertical Speed Inertial Recorded,Taxi Out,-5.58333333333
8334210,Vertical Speed Inertial Recorded,Approach And Landing,-552.142011834
8334210,Vertical Speed Inertial Recorded,Descending,-1485.76523031
8334210,Vertical Speed Inertial Recorded,Climbing,1509.19547658
8334210,Vertical Speed Inertial Recorded,Turning On Ground,-3.2
