flight_pk,parameter,phases,value
8314547,Roll Rate,Taxiing,-0.00210970244565
8314547,Roll Rate,Descent,0.000266709383754
8314547,Roll Rate,Grounded,-0.000410431621081
8314547,Roll Rate,Airborne,0.00015015546697
8314547,Roll Rate,Final Approach,-0.016845775
8314547,Roll Rate,Approach And Landing,0.115583928719
8314547,Roll Rate,Approach,0.18984456
8314547,Roll Rate,Taxi Out,2.64731927711e-05
8314547,Roll Rate,Landing,-0.0054931875
8314547,Roll Rate,Descending,0.0851416121567
8314547,Roll Rate,Climbing,0.000715391860465
8314547,Roll Rate,Turning On Ground,-0.0192931463415
8314547,Roll Rate,Mobile,-4.57574968763e-05
8314547,Roll Rate,Cruise,-0.000328257703081
8314547,Roll Rate,Climb Cruise Descent,-6.25825975505e-06
8314547,Roll Rate,Takeoff Rotation,-0.00615237
8314547,Roll Rate,Fast,-0.000316646015824
8314547,Roll Rate,Climb,-0.00154483059088
8314547,Roll Rate,Level Flight,-0.0325424354764
8314547,Roll Rate,Turning In Air,-0.0196997068966
8314547,Roll Rate,Takeoff Roll,0.0313896428571
8314547,Roll Rate,Takeoff,-0.02197275
8314547,Roll Rate,Landing Roll,0.00507063461538
8314547,Turbulence,Taxiing,0.0210265823915
8314547,Turbulence,Descent,0.0306260148075
8314547,Turbulence,Grounded,0.011341818906999654
8314547,Turbulence,Airborne,0.0159985900956
8314547,Turbulence,Final Approach,0.0639908484468
8314547,Turbulence,Approach And Landing,0.0622255135129
8314547,Turbulence,Approach,0.0796374533942
8314547,Turbulence,Taxi Out,0.007701071624596865
8314547,Turbulence,Landing,0.0338364810978
8314547,Turbulence,Descending,0.0246040578657
8314547,Turbulence,Climbing,0.016644878138
8314547,Turbulence,Turning On Ground,0.0221280912124
8314547,Turbulence,Mobile,0.015184346847008361
8314547,Turbulence,Cruise,0.00537460106862
8314547,Turbulence,Climb Cruise Descent,0.0159906607525
8314547,Turbulence,Takeoff Rotation,0.0436829991682
8314547,Turbulence,Fast,0.0161855385885
8314547,Turbulence,Climb,0.0121842124643
8314547,Turbulence,Level Flight,0.0105887965968
8314547,Turbulence,Turning In Air,0.0582706635034
8314547,Turbulence,Takeoff Roll,0.027117080018
8314547,Turbulence,Takeoff,0.0162678499016
8314547,Turbulence,Landing Roll,0.0345298544276
8314547,Pitch Rate,Taxiing,0.000786153759058
8314547,Pitch Rate,Descent,0.000189771825397
8314547,Pitch Rate,Grounded,0.00384775266845
8314547,Pitch Rate,Airborne,-0.00171738361333
8314547,Pitch Rate,Final Approach,0.12057409375
8314547,Pitch Rate,Approach And Landing,-0.0153671306818
8314547,Pitch Rate,Approach,-0.0254514791667
8314547,Pitch Rate,Taxi Out,0.000119128012048
8314547,Pitch Rate,Landing,0.00107474184783
8314547,Pitch Rate,Descending,0.00227436609868
8314547,Pitch Rate,Climbing,-0.00764566351744
8314547,Pitch Rate,Turning On Ground,0.018489054878
8314547,Pitch Rate,Mobile,-8.57943304873e-05
8314547,Pitch Rate,Cruise,-0.00281580357143
8314547,Pitch Rate,Climb Cruise Descent,-0.00185555290516
8314547,Pitch Rate,Takeoff Rotation,0.5748006
8314547,Pitch Rate,Fast,-0.000391146510314
8314547,Pitch Rate,Climb,-0.00638057077412
8314547,Pitch Rate,Level Flight,-0.00337413043478
8314547,Pitch Rate,Turning In Air,0.00542998563218
8314547,Pitch Rate,Takeoff Roll,0.134346142857
8314547,Pitch Rate,Takeoff,0.13930318118
8314547,Pitch Rate,Landing Roll,-0.174089807692
8314547,Subframe Counter,Taxiing,483.217391304
8314547,Subframe Counter,Descent,3018.3880597
8314547,Subframe Counter,Grounded,397.168
8314547,Subframe Counter,Airborne,2308.07289294
8314547,Subframe Counter,Final Approach,154.0
8314547,Subframe Counter,Approach And Landing,154.0
8314547,Subframe Counter,Approach,108.0
8314547,Subframe Counter,Taxi Out,303.134615385
8314547,Subframe Counter,Landing,230.0
8314547,Subframe Counter,Descending,3101.70612245
8314547,Subframe Counter,Climbing,1225.85253456
8314547,Subframe Counter,Turning On Ground,400.8
8314547,Subframe Counter,Mobile,1783.42333333
8314547,Subframe Counter,Cruise,2682.0
8314547,Subframe Counter,Climb Cruise Descent,2308.07289294
8314547,Subframe Counter,Takeoff Rotation,778.0
8314547,Subframe Counter,Fast,2293.33107345
8314547,Subframe Counter,Climb,1478.0
8314547,Subframe Counter,Level Flight,2700.45925926
8314547,Subframe Counter,Turning In Air,2430.72727273
8314547,Subframe Counter,Takeoff Roll,758.0
8314547,Subframe Counter,Takeoff,736.0
8314547,Subframe Counter,Landing Roll,206.0
8314547,Zero Fuel Weight,Taxiing,12052.0
8314547,Zero Fuel Weight,Descent,12052.0
8314547,Zero Fuel Weight,Grounded,12052.0
8314547,Zero Fuel Weight,Airborne,12052.0
8314547,Zero Fuel Weight,Final Approach,12052.0
8314547,Zero Fuel Weight,Approach And Landing,12052.0
8314547,Zero Fuel Weight,Approach,12052.0
8314547,Zero Fuel Weight,Taxi Out,12052.0
8314547,Zero Fuel Weight,Landing,12052.0
8314547,Zero Fuel Weight,Descending,12052.0
8314547,Zero Fuel Weight,Climbing,12052.0
8314547,Zero Fuel Weight,Turning On Ground,12052.0
8314547,Zero Fuel Weight,Mobile,12052.0
8314547,Zero Fuel Weight,Cruise,12052.0
8314547,Zero Fuel Weight,Climb Cruise Descent,12052.0
8314547,Zero Fuel Weight,Takeoff Rotation,12052.0
8314547,Zero Fuel Weight,Fast,12052.0
8314547,Zero Fuel Weight,Climb,12052.0
8314547,Zero Fuel Weight,Level Flight,12052.0
8314547,Zero Fuel Weight,Turning In Air,12052.0
8314547,Zero Fuel Weight,Takeoff Roll,12052.0
8314547,Zero Fuel Weight,Takeoff,12052.0
8314547,Zero Fuel Weight,Landing Roll,12052.0
8314669,Roll Rate,Taxi Out,0.000491011173184
8314669,Roll Rate,Approach And Landing,0.0401339005102
8314669,Roll Rate,Turning In Air,0.42034826087
8314669,Roll Rate,Descent,0.00196904480652
8314669,Roll Rate,Grounded,-0.00016688164557
8314669,Roll Rate,Mobile,-0.000475600649351
8314669,Roll Rate,Approach,0.0524861448763
8314669,Roll Rate,Airborne,-0.000448839832869
8314669,Roll Rate,Takeoff,0.00666270483871
8314669,Roll Rate,Final Approach,-0.0112360653409
8314669,Roll Rate,Climb Cruise Descent,-0.000755568540892
8314669,Roll Rate,Takeoff Rotation,0.07119171
8314669,Roll Rate,Descending,-0.0018221304878
8314669,Roll Rate,Fast,-0.00172998122172
8314669,Roll Rate,Cruise,0.00770771858639
8314669,Roll Rate,Climbing,-0.0180689619289
8314669,Roll Rate,Landing Roll,-0.111861272727
8314669,Roll Rate,Landing,0.00806339449541
8314669,Roll Rate,Level Flight,0.00741937012987
8314669,Roll Rate,Climb,-0.0370397785714
8314669,Roll Rate,Takeoff Roll,0.0312689134615
8314669,Turbulence,Taxi Out,0.0165364246908
8314669,Turbulence,Approach And Landing,0.0309334004561
8314669,Turbulence,Turning In Air,0.00895954514746
8314669,Turbulence,Descent,0.0212602037476
8314669,Turbulence,Grounded,0.0049118261333258731
8314669,Turbulence,Mobile,0.016166266007
8314669,Turbulence,Approach,0.0312193390526
8314669,Turbulence,Airborne,0.015544877402
8314669,Turbulence,Takeoff,0.0124935637599
8314669,Turbulence,Final Approach,0.0556473295015
8314669,Turbulence,Climb Cruise Descent,0.0154974737146
8314669,Turbulence,Takeoff Rotation,0.0510480694241
8314669,Turbulence,Descending,0.0230443363763
8314669,Turbulence,Fast,0.0165444635811
8314669,Turbulence,Cruise,0.00421895841772
8314669,Turbulence,Climbing,0.0230769962617
8314669,Turbulence,Landing Roll,0.0577442188101
8314669,Turbulence,Landing,0.0301910094211
8314669,Turbulence,Level Flight,0.00434799908393
8314669,Turbulence,Climb,0.0177348280318
8314669,Turbulence,Takeoff Roll,0.0273963372016
8314669,Pitch Rate,Taxi Out,0.00739577164804
8314669,Pitch Rate,Approach And Landing,0.00703456313776
8314669,Pitch Rate,Turning In Air,-0.0132551494565
8314669,Pitch Rate,Descent,0.00104044933809
8314669,Pitch Rate,Grounded,0.00330746387131
8314669,Pitch Rate,Mobile,-7.81335034014e-05
8314669,Pitch Rate,Approach,0.0165764266784
8314669,Pitch Rate,Airborne,-0.00723745995822
8314669,Pitch Rate,Takeoff,0.0698512862903
8314669,Pitch Rate,Final Approach,0.043757734375
8314669,Pitch Rate,Climb Cruise Descent,-0.00757091484665
8314669,Pitch Rate,Takeoff Rotation,0.5748006
8314669,Pitch Rate,Descending,0.0019962820122
8314669,Pitch Rate,Fast,-0.000924634615385
8314669,Pitch Rate,Cruise,-0.00960577879581
8314669,Pitch Rate,Climbing,-0.0139977093909
8314669,Pitch Rate,Landing Roll,-0.265168125
8314669,Pitch Rate,Landing,-0.017739266055
8314669,Pitch Rate,Level Flight,-0.0116425714286
8314669,Pitch Rate,Climb,-0.0468955928571
8314669,Pitch Rate,Takeoff Roll,0.265148918269
8314669,Subframe Counter,Taxi Out,3922.0
8314669,Subframe Counter,Approach And Landing,1056.0
8314669,Subframe Counter,Turning In Air,638.0
8314669,Subframe Counter,Descent,902.0
8314669,Subframe Counter,Grounded,2358.28330523
8314669,Subframe Counter,Mobile,1213.14851485
8314669,Subframe Counter,Approach,1002.0
8314669,Subframe Counter,Airborne,610.0
