flight_pk,parameter,phases,value
8314810,TCAS RA Vertical Speed,Taxiing,0.0
8314810,TCAS RA Vertical Speed,Descent,0.0
8314810,TCAS RA Vertical Speed,Grounded,0.0
8314810,TCAS RA Vertical Speed,Airborne,0.0
8314810,TCAS RA Vertical Speed,Final Approach,0.0
8314810,TCAS RA Vertical Speed,Approach And Landing,0.0
8314810,TCAS RA Vertical Speed,Approach,0.0
8314810,TCAS RA Vertical Speed,Taxi Out,0.0
8314810,TCAS RA Vertical Speed,Landing,0.0
8314810,TCAS RA Vertical Speed,Descending,0.0
8314810,TCAS RA Vertical Speed,Climbing,0.0
8314810,TCAS RA Vertical Speed,Turning On Ground,0.0
8314810,TCAS RA Vertical Speed,Mobile,0.0
8314810,TCAS RA Vertical Speed,Cruise,0.0
8314810,TCAS RA Vertical Speed,Climb Cruise Descent,0.0
8314810,TCAS RA Vertical Speed,Takeoff Rotation,0.0
8314810,TCAS RA Vertical Speed,Fast,0.0
8314810,TCAS RA Vertical Speed,Climb,0.0
8314810,TCAS RA Vertical Speed,Level Flight,0.0
8314810,TCAS RA Vertical Speed,Landing Roll,0.0
8314810,TCAS RA Vertical Speed,Takeoff Roll,0.0
8314810,TCAS RA Vertical Speed,Taxi In,0.0
8314810,TCAS RA Vertical Speed,Takeoff,0.0
8314810,TCAS RA Vertical Speed,Turning In Air,0.0
8314810,Zero Fuel Weight,Taxiing,17900.0
8314810,Zero Fuel Weight,Descent,17900.0
8314810,Zero Fuel Weight,Grounded,17900.0
8314810,Zero Fuel Weight,Airborne,17900.0
8314810,Zero Fuel Weight,Final Approach,17900.0
8314810,Zero Fuel Weight,Approach And Landing,17900.0
8314810,Zero Fuel Weight,Approach,17900.0
8314810,Zero Fuel Weight,Taxi Out,17900.0
8314810,Zero Fuel Weight,Landing,17900.0
8314810,Zero Fuel Weight,Descending,17900.0
8314810,Zero Fuel Weight,Climbing,17900.0
8314810,Zero Fuel Weight,Turning On Ground,17900.0
8314810,Zero Fuel Weight,Mobile,17900.0
8314810,Zero Fuel Weight,Cruise,17900.0
8314810,Zero Fuel Weight,Climb Cruise Descent,17900.0
8314810,Zero Fuel Weight,Takeoff Rotation,17900.0
8314810,Zero Fuel Weight,Fast,17900.0
8314810,Zero Fuel Weight,Climb,17900.0
8314810,Zero Fuel Weight,Level Flight,17900.0
8314810,Zero Fuel Weight,Landing Roll,17900.0
8314810,Zero Fuel Weight,Takeoff Roll,17900.0
8314810,Zero Fuel Weight,Taxi In,17900.0
8314810,Zero Fuel Weight,Takeoff,17900.0
8314810,Zero Fuel Weight,Turning In Air,17900.0
8314810,Day Recorded,Taxiing,7.0
8314810,Day Recorded,Descent,7.0
8314810,Day Recorded,Grounded,7.0
8314810,Day Recorded,Airborne,7.0
8314810,Day Recorded,Final Approach,7.0
8314810,Day Recorded,Approach And Landing,7.0
8314810,Day Recorded,Approach,7.0
8314810,Day Recorded,Taxi Out,7.0
8314810,Day Recorded,Landing,7.0
8314810,Day Recorded,Descending,7.0
8314810,Day Recorded,Climbing,7.0
8314810,Day Recorded,Turning On Ground,7.0
8314810,Day Recorded,Mobile,7.0
8314810,Day Recorded,Cruise,7.0
8314810,Day Recorded,Climb Cruise Descent,7.0
8314810,Day Recorded,Takeoff Rotation,7.0
8314810,Day Recorded,Fast,7.0
8314810,Day Recorded,Climb,7.0
8314810,Day Recorded,Level Flight,7.0
8314810,Day Recorded,Landing Roll,7.0
8314810,Day Recorded,Takeoff Roll,7.0
8314810,Day Recorded,Taxi In,7.0
8314810,Day Recorded,Takeoff,7.0
8314810,Day Recorded,Turning In Air,7.0
8314810,Month Recorded,Taxiing,7.0
8314810,Month Recorded,Descent,7.0
8314810,Month Recorded,Grounded,7.0
8314810,Month Recorded,Airborne,7.0
8314810,Month Recorded,Final Approach,7.0
8314810,Month Recorded,Approach And Landing,7.0
8314810,Month Recorded,Approach,7.0
8314810,Month Recorded,Taxi Out,7.0
8314810,Month Recorded,Landing,7.0
8314810,Month Recorded,Descending,7.0
8314810,Month Recorded,Climbing,7.0
8314810,Month Recorded,Turning On Ground,7.0
8314810,Month Recorded,Mobile,7.0
8314810,Month Recorded,Cruise,7.0
8314810,Month Recorded,Climb Cruise Descent,7.0
8314810,Month Recorded,Takeoff Rotation,7.0
8314810,Month Recorded,Fast,7.0
8314810,Month Recorded,Climb,7.0
8314810,Month Recorded,Level Flight,7.0
8314810,Month Recorded,Landing Roll,7.0
8314810,Month Recorded,Takeoff Roll,7.0
8314810,Month Recorded,Taxi In,7.0
8314810,Month Recorded,Takeoff,7.0
8314810,Month Recorded,Turning In Air,7.0
8314810,Roll Rate,Taxiing,-0.00192555243066
8314810,Roll Rate,Descent,0.00140919168269
8314810,Roll Rate,Grounded,0.00228265324392
8314810,Roll Rate,Airborne,-0.000577479975401
8314810,Roll Rate,Final Approach,-0.0177960778214
8314810,Roll Rate,Approach And Landing,6.34413156929e-18
8314810,Roll Rate,Approach,-0.00858123566776
8314810,Roll Rate,Taxi Out,-0.000610649729167
8314810,Roll Rate,Landing,0.0224887555431
8314810,Roll Rate,Descending,0.00541658053035
8314810,Roll Rate,Climbing,-0.00230689897685
8314810,Roll Rate,Turning On Ground,0.0098925256125
8314810,Roll Rate,Mobile,0.000305891330009
8314810,Roll Rate,Cruise,0.000397474371697
8314810,Roll Rate,Climb Cruise Descent,-9.79215601336e-06
8314810,Roll Rate,Takeoff Rotation,0.11167562247
8314810,Roll Rate,Fast,0.000376361817274
8314810,Roll Rate,Climb,0.00344236033372
8314810,Roll Rate,Level Flight,0.00138906037294
8314810,Roll Rate,Landing Roll,0.0209365621429
8314810,Roll Rate,Takeoff Roll,-0.0774652799286
8314810,Roll Rate,Taxi In,-0.00103784245815
8314810,Roll Rate,Takeoff,0.0421843434527
8314810,Roll Rate,Turning In Air,-0.148239347767
8314810,Turbulence,Descent,0.034062118601070938
8314810,Turbulence,Mobile,0.018873275350494531
8314810,Turbulence,Level Flight,0.0097686940060156911
8314810,Turbulence,Cruise,0.0097672755784286962
8314810,Turbulence,Turning In Air,0.031636992488318083
8314810,Turbulence,Airborne,0.018873275350494531
8314810,Turbulence,Descending,0.034278803812672329
8314810,Turbulence,Approach And Landing,0.038270287232176153
8314810,Turbulence,Climb Cruise Descent,0.018873275350494531
8314810,Turbulence,Climbing,0.016458089639056341
8314810,Turbulence,Climb,0.015885296710061145
8314810,Turbulence,Approach,0.038270287232176153
8314810,Turbulence,Fast,0.018873275350494528
8314810,Pitch Rate,Taxiing,-0.00160462702555
8314810,Pitch Rate,Descent,0.0065975792417
8314810,Pitch Rate,Grounded,0.00525421534974
8314810,Pitch Rate,Airborne,-0.00257908429692
8314810,Pitch Rate,Final Approach,0.0598000556205
8314810,Pitch Rate,Approach And Landing,0.00282643588929
8314810,Pitch Rate,Approach,0.026322217273
8314810,Pitch Rate,Taxi Out,0.000556768870711
8314810,Pitch Rate,Landing,-0.0587487153233
8314810,Pitch Rate,Descending,0.00515235708984
8314810,Pitch Rate,Climbing,-0.0145707810376
8314810,Pitch Rate,Turning On Ground,0.0415852465562
8314810,Pitch Rate,Mobile,-0.000142749287338
8314810,Pitch Rate,Cruise,-0.000672648936718
8314810,Pitch Rate,Climb Cruise Descent,-0.00216406647895
8314810,Pitch Rate,Takeoff Rotation,0.601025889435
8314810,Pitch Rate,Fast,0.000106153333077
8314810,Pitch Rate,Climb,-0.0206371206145
8314810,Pitch Rate,Level Flight,-0.00146455278451
8314810,Pitch Rate,Landing Roll,-0.076941865875
8314810,Pitch Rate,Takeoff Roll,0.272698721911
8314810,Pitch Rate,Taxi In,4.71746571888e-05
8314810,Pitch Rate,Takeoff,0.400454189959
8314810,Pitch Rate,Turning In Air,0.00267365557095
8314754,Roll Rate,Descent,0.000648526641263
8314754,Roll Rate,Grounded,-8.3294687627513908e-05
8314754,Roll Rate,Airborne,-9.53914369823e-05
8314754,Roll Rate,Final Approach,0.005715681465
8314754,Roll Rate,Approach And Landing,0.00276362620286
8314754,Roll Rate,Approach,0.003663898375
8314754,Roll Rate,Taxi Out,-0.00262488241791
8314754,Roll Rate,Landing,-0.0050453682541
8314754,Roll Rate,Descending,0.00546045571987
8314754,Roll Rate,Climbing,0.0114545033408
8314754,Roll Rate,Mobile,-0.000185290465683
8314754,Roll Rate,Cruise,0.00244259891667
8314754,Roll Rate,Climb Cruise Descent,0.000563899118489
8314754,Roll Rate,Takeoff Rotation,0.07650219807
8314754,Roll Rate,Fast,0.000573777618524
8314754,Roll Rate,Climb,0.00050561797575
8314754,Roll Rate,Level Flight,-0.0444312183222
8314754,Roll Rate,Landing Roll,0.23302393665
8314754,Roll Rate,Takeoff Roll,-0.00281838336538
8314754,Roll Rate,Taxi In,-0.0037642791524
8314754,Roll Rate,Takeoff,0.0149321141321
8314754,Roll Rate,Turning In Air,-0.116498804618
8314754,Pitch Rate,Descent,0.00245276101503
8314754,Pitch Rate,Grounded,0.0018036503513188576
8314754,Pitch Rate,Airborne,-0.0026145925682
8314754,Pitch Rate,Final Approach,-0.0185759647612
8314754,Pitch Rate,Approach And Landing,0.00175867122
8314754,Pitch Rate,Approach,0.00606833168359
8314754,Pitch Rate,Taxi Out,-0.000656220604478
8314754,Pitch Rate,Landing,-0.0203616647398
8314754,Pitch Rate,Descending,0.00549079158498
8314754,Pitch Rate,Climbing,-0.015446224202
8314754,Pitch Rate,Mobile,-9.59539911574e-05
8314754,Pitch Rate,Cruise,-0.00464093794167
8314754,Pitch Rate,Climb Cruise Descent,-0.00237271398318
8314754,Pitch Rate,Takeoff Rotation,0.548265752835
8314754,Pitch Rate,Fast,0.000175558823578
8314754,Pitch Rate,Climb,-0.0103541768077
8314754,Pitch Rate,Level Flight,-0.00384451308363
8314754,Pitch Rate,Landing Roll,-0.173668782975
8314754,Pitch Rate,Takeoff Roll,0.122035999721
8314754,Pitch Rate,Taxi In,-0.00805555738613
8314754,Pitch Rate,Takeoff,0.279562359028
8314754,Pitch Rate,Turning In Air,0.0030276525494
8314754,TCAS RA Vertical Speed,Descent,0.0
8314754,TCAS RA Vertical Speed,Grounded,0.0
8314754,TCAS RA Vertical Speed,Airborne,0.0
8314754,TCAS RA Vertical Speed,Final Approach,0.0
8314754,TCAS RA Vertical Speed,Approach And Landing,0.0
8314754,TCAS RA Vertical Speed,Approach,0.0
8314754,TCAS RA Vertical Speed,Taxi Out,0.0
8314754,TCAS RA Vertical Speed,Landing,0.0
8314754,TCAS RA Vertical Speed,Descending,0.0
8314754,TCAS RA Vertical Speed,Climbing,0.0
8314754,TCAS RA Vertical Speed,Mobile,0.0
8314754,TCAS RA Vertical Speed,Cruise,0.0
8314754,TCAS RA Vertical Speed,Climb Cruise Descent,0.0
8314754,TCAS RA Vertical Speed,Takeoff Rotation,0.0
8314754,TCAS RA Vertical Speed,Fast,0.0
8314754,TCAS RA Vertical Speed,Climb,0.0
8314754,TCAS RA Vertical Speed,Level Flight,0.0
8314754,TCAS RA Vertical Speed,Landing Roll,0.0
8314754,TCAS RA Vertical Speed,Takeoff Roll,0.0
8314754,TCAS RA Vertical Speed,Taxi In,0.0
8314754,TCAS RA Vertical Speed,Takeoff,0.0
8314754,TCAS RA Vertical Speed,Turning In Air,0.0
8314754,Zero Fuel Weight,Descent,12038.0
8314754,Zero Fuel Weight,Grounded,12038.0
8314754,Zero Fuel Weight,Airborne,12038.0
8314754,Zero Fuel Weight,Final Approach,12038.0
8314754,Zero Fuel Weight,Approach And Landing,12038.0
8314754,Zero Fuel Weight,Approach,12038.0
8314754,Zero Fuel Weight,Taxi Out,12038.0
8314754,Zero Fuel Weight,Landing,12038.0
8314754,Zero Fuel Weight,Descending,12038.0
