flight_pk,parameter,phases,value
8316012,AC Number,Taxiing,47.0
8316012,AC Number,Descent,47.0
8316012,AC Number,Grounded,47.0
8316012,AC Number,Airborne,47.0
8316012,AC Number,Final Approach,47.0
8316012,AC Number,Approach And Landing,47.0
8316012,AC Number,Approach,47.0
8316012,AC Number,Taxi Out,47.0
8316012,AC Number,Landing,47.0
8316012,AC Number,Descending,47.0
8316012,AC Number,Climbing,47.0
8316012,AC Number,Turning On Ground,47.0
8316012,AC Number,Mobile,47.0
8316012,AC Number,Cruise,47.0
8316012,AC Number,Climb Cruise Descent,47.0
8316012,AC Number,Takeoff Rotation,47.0
8316012,AC Number,Fast,47.0
8316012,AC Number,Climb,47.0
8316012,AC Number,Level Flight,47.0
8316012,AC Number,Turning In Air,47.0
8316012,AC Number,Takeoff Roll,47.0
8316012,AC Number,Taxi In,47.0
8316012,AC Number,Takeoff,47.0
8316012,AC Number,Landing Roll,47.0
8316012,Airport Selected,Taxiing,1061.36612022
8316012,Airport Selected,Descent,1110.0
8316012,Airport Selected,Grounded,1042.122905027933
8316012,Airport Selected,Airborne,1084.24511545
8316012,Airport Selected,Final Approach,1110.0
8316012,Airport Selected,Approach And Landing,1110.0
8316012,Airport Selected,Approach,1110.0
8316012,Airport Selected,Taxi Out,1010.0
8316012,Airport Selected,Landing,1110.0
8316012,Airport Selected,Descending,1110.0
8316012,Airport Selected,Climbing,1010.0
8316012,Airport Selected,Turning On Ground,1040.76923077
8316012,Airport Selected,Mobile,1078.542199488491
8316012,Airport Selected,Cruise,1094.0
8316012,Airport Selected,Climb Cruise Descent,1084.24511545
8316012,Airport Selected,Takeoff Rotation,1010.0
8316012,Airport Selected,Fast,1083.95104895
8316012,Airport Selected,Climb,1010.0
8316012,Airport Selected,Level Flight,1100.0
8316012,Airport Selected,Turning In Air,1094.0
8316012,Airport Selected,Takeoff Roll,1010.0
8316012,Airport Selected,Taxi In,1110.0
8316012,Airport Selected,Takeoff,1010.0
8316012,Airport Selected,Landing Roll,1110.0
8316012,VMin,Landing Roll,128.0
8316012,VMin,Climb Cruise Descent,135.70330652368185
8316012,VMin,Descent,131.344
8316012,VMin,Grounded,128.0
8316012,VMin,Mobile,135.68270944741533
8316012,VMin,Level Flight,139.542288557
8316012,VMin,Cruise,143.648
8316012,VMin,Turning In Air,129.775510204
8316012,VMin,Airborne,135.70330652368185
8316012,VMin,Final Approach,126.970588235
8316012,VMin,Descending,130.179144385
8316012,VMin,Landing,106.16666666666667
8316012,VMin,Approach And Landing,125.09999999999999
8316012,VMin,Climbing,138.53941908713693
8316012,VMin,Climb,138.987341772
8316012,VMin,Approach,126.308510638
8316012,VMin,Fast,135.68270944741533
8316012,Track,Taxiing,111.43341751410887
8316012,Track,Descent,130.755182739
8316012,Track,Grounded,202.80165847632381
8316012,Track,Airborne,117.018425506
8316012,Track,Final Approach,130.801982595
8316012,Track,Approach And Landing,125.575212177
8316012,Track,Approach,130.277548039
8316012,Track,Taxi Out,155.176507328
8316012,Track,Landing,116.46140659
8316012,Track,Descending,126.916929176
8316012,Track,Climbing,177.406250803
8316012,Track,Turning On Ground,141.866202841
8316012,Track,Mobile,118.6256637353375
8316012,Track,Cruise,23.2787124236
8316012,Track,Climb Cruise Descent,116.919321563
8316012,Track,Takeoff Rotation,326.600656128
8316012,Track,Fast,118.612841844
8316012,Track,Climb,166.957521298
8316012,Track,Level Flight,61.2998523997
8316012,Track,Turning In Air,163.170962334
8316012,Track,Takeoff Roll,326.662857056
8316012,Track,Taxi In,69.265966869535902
8316012,Track,Takeoff,326.832432747
8316012,Track,Landing Roll,131.253712972
8316012,AC Fleet Ident,Taxiing,2.0
8316012,AC Fleet Ident,Descent,2.0
8316012,AC Fleet Ident,Grounded,2.0
8316012,AC Fleet Ident,Airborne,2.0
8316012,AC Fleet Ident,Final Approach,2.0
8316012,AC Fleet Ident,Approach And Landing,2.0
8316012,AC Fleet Ident,Approach,2.0
8316012,AC Fleet Ident,Taxi Out,2.0
8316012,AC Fleet Ident,Landing,2.0
8316012,AC Fleet Ident,Descending,2.0
8316012,AC Fleet Ident,Climbing,2.0
8316012,AC Fleet Ident,Turning On Ground,2.0
8316012,AC Fleet Ident,Mobile,2.0
8316012,AC Fleet Ident,Cruise,2.0
8316012,AC Fleet Ident,Climb Cruise Descent,2.0
8316012,AC Fleet Ident,Takeoff Rotation,2.0
8316012,AC Fleet Ident,Fast,2.0
8316012,AC Fleet Ident,Climb,2.0
8316012,AC Fleet Ident,Level Flight,2.0
8316012,AC Fleet Ident,Turning In Air,2.0
8316012,AC Fleet Ident,Takeoff Roll,2.0
8316012,AC Fleet Ident,Taxi In,2.0
8316012,AC Fleet Ident,Takeoff,2.0
8316012,AC Fleet Ident,Landing Roll,2.0
8316012,Subframe Counter,Taxiing,1572.1852861
8316012,Subframe Counter,Descent,956.9128
8316012,Subframe Counter,Grounded,1516.5693813351975
8316012,Subframe Counter,Airborne,2065.08743897
8316012,Subframe Counter,Final Approach,1064.0
8316012,Subframe Counter,Approach And Landing,1052.0
8316012,Subframe Counter,Approach,1003.5
8316012,Subframe Counter,Taxi Out,2724.5
8316012,Subframe Counter,Landing,1146.0
8316012,Subframe Counter,Descending,1301.63150868
8316012,Subframe Counter,Climbing,3196.5
8316012,Subframe Counter,Turning On Ground,2183.0
8316012,Subframe Counter,Mobile,1933.6772232885476
8316012,Subframe Counter,Cruise,3700.0
8316012,Subframe Counter,Climb Cruise Descent,2065.12216793
8316012,Subframe Counter,Takeoff Rotation,2950.0
8316012,Subframe Counter,Fast,2062.48427948
8316012,Subframe Counter,Climb,3213.0
8316012,Subframe Counter,Level Flight,2469.96766169
