flight_pk,parameter,phases,value
8316304,Track Angle True,Taxiing,0.0
8316304,Track Angle True,Descent,189.332942705
8316304,Track Angle True,Grounded,0.33089505221588417
8316304,Track Angle True,Airborne,174.729342943
8316304,Track Angle True,Final Approach,14.4171614815
8316304,Track Angle True,Approach And Landing,63.44216
8316304,Track Angle True,Approach,78.3288338417
8316304,Track Angle True,Taxi Out,0.0
8316304,Track Angle True,Landing,12.955904
8316304,Track Angle True,Descending,195.465608799
8316304,Track Angle True,Climbing,154.065890203
8316304,Track Angle True,Turning On Ground,0.0
8316304,Track Angle True,Mobile,97.1155413333
8316304,Track Angle True,Takeoff,50.898456
8316304,Track Angle True,Climb Cruise Descent,174.770136903
8316304,Track Angle True,Takeoff Rotation,68.32978944
8316304,Track Angle True,Fast,174.152179662
8316304,Track Angle True,Climb,157.52232586
8316304,Track Angle True,Level Flight,177.133519672
8316304,Track Angle True,Turning In Air,219.845172706
8316304,Track Angle True,Takeoff Roll,61.3123291429
8316304,Track Angle True,Taxi In,0.0
8316304,Track Angle True,Cruise,176.562378222
8316304,Track Angle True,Landing Roll,14.6900652973
8316304,Airspeed Selected Recorded,Taxiing,129.98490566
8316304,Airspeed Selected Recorded,Descent,252.760029176
8316304,Airspeed Selected Recorded,Grounded,127.88050314465409
8316304,Airspeed Selected Recorded,Airborne,250.308409786
8316304,Airspeed Selected Recorded,Final Approach,133.87654321
8316304,Airspeed Selected Recorded,Approach And Landing,156.913888889
8316304,Airspeed Selected Recorded,Approach,166.032374101
8316304,Airspeed Selected Recorded,Taxi Out,132.0
8316304,Airspeed Selected Recorded,Landing,126.0
8316304,Airspeed Selected Recorded,Descending,250.490998363
8316304,Airspeed Selected Recorded,Climbing,273.155737705
8316304,Airspeed Selected Recorded,Turning On Ground,127.297297297
8316304,Airspeed Selected Recorded,Mobile,197.545122986
8316304,Airspeed Selected Recorded,Takeoff,132.0
8316304,Airspeed Selected Recorded,Climb Cruise Descent,250.345518507
8316304,Airspeed Selected Recorded,Takeoff Rotation,132.0
8316304,Airspeed Selected Recorded,Fast,249.806456525
8316304,Airspeed Selected Recorded,Climb,271.981104651
8316304,Airspeed Selected Recorded,Level Flight,244.448974292
8316304,Airspeed Selected Recorded,Turning In Air,187.058823529
8316304,Airspeed Selected Recorded,Takeoff Roll,132.0
8316304,Airspeed Selected Recorded,Taxi In,126.0
8316304,Airspeed Selected Recorded,Cruise,242.435025246
8316304,Airspeed Selected Recorded,Landing Roll,126.0
8316304,Roll Trim Position Cockpit Display,Taxiing,-0.29041509434
8316304,Roll Trim Position Cockpit Display,Descent,0.660189642597
8316304,Roll Trim Position Cockpit Display,Grounded,-0.76158549071230086
8316304,Roll Trim Position Cockpit Display,Airborne,0.622122324159
8316304,Roll Trim Position Cockpit Display,Final Approach,0.650864197531
8316304,Roll Trim Position Cockpit Display,Approach And Landing,0.651555555556
8316304,Roll Trim Position Cockpit Display,Approach,0.650791366906
8316304,Roll Trim Position Cockpit Display,Taxi Out,-1.02391152503
8316304,Roll Trim Position Cockpit Display,Landing,0.653827160494
8316304,Roll Trim Position Cockpit Display,Descending,0.660065466448
8316304,Roll Trim Position Cockpit Display,Climbing,0.45462295082
8316304,Roll Trim Position Cockpit Display,Turning On Ground,0.566486486486
8316304,Roll Trim Position Cockpit Display,Mobile,-0.109469041561
8316304,Roll Trim Position Cockpit Display,Takeoff,0.20875
8316304,Roll Trim Position Cockpit Display,Climb Cruise Descent,0.622190272255
