flight_pk,parameter,phases,value
8339989,Lateral Proportional Deviation,Taxiing,0.0
8339989,Lateral Proportional Deviation,Descent,0.0
8339989,Lateral Proportional Deviation,Grounded,-0.0047351287363125195
8339989,Lateral Proportional Deviation,Fast,-0.000561253841081
8339989,Lateral Proportional Deviation,Final Approach,0.0
8339989,Lateral Proportional Deviation,Landing,0.0
8339989,Lateral Proportional Deviation,Approach,0.0
8339989,Lateral Proportional Deviation,Taxi Out,-0.00947025747263
8339989,Lateral Proportional Deviation,Approach And Landing,0.0
8339989,Lateral Proportional Deviation,Descending,0.0
8339989,Lateral Proportional Deviation,Climbing,0.0
8339989,Lateral Proportional Deviation,Turning On Ground,0.0
8339989,Lateral Proportional Deviation,Mobile,-0.000523298217843
8339989,Lateral Proportional Deviation,Cruise,0.0
8339989,Lateral Proportional Deviation,Climb Cruise Descent,0.0
8339989,Lateral Proportional Deviation,Takeoff Rotation,0.0
8339989,Lateral Proportional Deviation,Airborne,0.0
8339989,Lateral Proportional Deviation,Climb,0.0
8339989,Lateral Proportional Deviation,Level Flight,0.0
8339989,Lateral Proportional Deviation,Landing Roll,0.0
8339989,Lateral Proportional Deviation,Takeoff Roll,0.0
8339989,Lateral Proportional Deviation,Taxi In,0.0
8339989,Lateral Proportional Deviation,Takeoff,0.0
8339989,Lateral Proportional Deviation,Turning In Air,0.0
8339989,Brake Outboard Accumulator Press,Taxiing,3153.28220859
8339989,Brake Outboard Accumulator Press,Descent,3154.55006031
8339989,Brake Outboard Accumulator Press,Grounded,2765.8018348623855
8339989,Brake Outboard Accumulator Press,Fast,3102.11222271
8339989,Brake Outboard Accumulator Press,Final Approach,3194.96774194
8339989,Brake Outboard Accumulator Press,Landing,3143.52
8339989,Brake Outboard Accumulator Press,Approach,3201.03225806
8339989,Brake Outboard Accumulator Press,Taxi Out,2362.12110092
8339989,Brake Outboard Accumulator Press,Approach And Landing,3184.5730659
8339989,Brake Outboard Accumulator Press,Descending,3151.46683838
8339989,Brake Outboard Accumulator Press,Climbing,3110.89265537
8339989,Brake Outboard Accumulator Press,Turning On Ground,3113.9047619
8339989,Brake Outboard Accumulator Press,Mobile,3064.87965122
8339989,Brake Outboard Accumulator Press,Cruise,3086.16413975
8339989,Brake Outboard Accumulator Press,Climb Cruise Descent,3102.03752132
8339989,Brake Outboard Accumulator Press,Takeoff Rotation,3116.96
8339989,Brake Outboard Accumulator Press,Airborne,3102.03910869
8339989,Brake Outboard Accumulator Press,Climb,3110.58039962
8339989,Brake Outboard Accumulator Press,Level Flight,3086.16636468
8339989,Brake Outboard Accumulator Press,Landing Roll,3270.4
8339989,Brake Outboard Accumulator Press,Takeoff Roll,3114.31578947
8339989,Brake Outboard Accumulator Press,Taxi In,3185.77
8339989,Brake Outboard Accumulator Press,Takeoff,3109.17647059
8339989,Brake Outboard Accumulator Press,Turning In Air,3233.11111111
8339989,EBHA Battery Current,Taxiing,11.6779141104
8339989,EBHA Battery Current,Descent,4.87801932367
8339989,EBHA Battery Current,Grounded,8.9485294117647065
8339989,EBHA Battery Current,Fast,4.81883427577
8339989,EBHA Battery Current,Final Approach,4.30434782609
