flight_pk,parameter,phases,value
8305592,TCAS Intruder Range,Taxiing,33.3725806452
8305592,TCAS Intruder Range,Descent,34.6012365591
8305592,TCAS Intruder Range,Grounded,35.188544415127531
8305592,TCAS Intruder Range,Airborne,31.9681484642
8305592,TCAS Intruder Range,Final Approach,32.3832417582
8305592,TCAS Intruder Range,Landing,37.3131648936
8305592,TCAS Intruder Range,Approach,33.5716911765
8305592,TCAS Intruder Range,Taxi Out,36.8437025797
8305592,TCAS Intruder Range,Approach And Landing,34.9129716981
8305592,TCAS Intruder Range,Descending,34.1377504554
8305592,TCAS Intruder Range,Climbing,25.4873096447
8305592,TCAS Intruder Range,Turning On Ground,32.3043981481
8305592,TCAS Intruder Range,Mobile,33.3807742626
8305592,TCAS Intruder Range,Cruise,34.6762455648
8305592,TCAS Intruder Range,Climb Cruise Descent,31.9681484642
8305592,TCAS Intruder Range,Takeoff Rotation,38.035
8305592,TCAS Intruder Range,Fast,31.9900237933
8305592,TCAS Intruder Range,Climb,22.2257163098
8305592,TCAS Intruder Range,Level Flight,32.8803707554
8305592,TCAS Intruder Range,Turning In Air,17.0428240741
8305592,TCAS Intruder Range,Takeoff Roll,37.9143518519
8305592,TCAS Intruder Range,Taxi In,29.6329479769
8305592,TCAS Intruder Range,Takeoff,37.9576612903
8305592,TCAS Intruder Range,Landing Roll,36.7321428571
8305592,Status And Data,Taxiing,0.0
8305592,Status And Data,Descent,0.0
8305592,Status And Data,Grounded,0.0
8305592,Status And Data,Airborne,0.0
8305592,Status And Data,Final Approach,0.0
8305592,Status And Data,Landing,0.0
8305592,Status And Data,Approach,0.0
8305592,Status And Data,Taxi Out,0.0
8305592,Status And Data,Approach And Landing,0.0
8305592,Status And Data,Descending,0.0
8305592,Status And Data,Climbing,0.0
8305592,Status And Data,Turning On Ground,0.0
8305592,Status And Data,Mobile,0.0
8305592,Status And Data,Cruise,0.0
8305592,Status And Data,Climb Cruise Descent,0.0
8305592,Status And Data,Takeoff Rotation,0.0
8305592,Status And Data,Fast,0.0
8305592,Status And Data,Climb,0.0
8305592,Status And Data,Level Flight,0.0
8305592,Status And Data,Turning In Air,0.0
8305592,Status And Data,Takeoff Roll,0.0
8305592,Status And Data,Taxi In,0.0
8305592,Status And Data,Takeoff,0.0
8305592,Status And Data,Landing Roll,0.0
8305592,TCAS Intruder Bearing,Taxiing,193.48132129
8305592,TCAS Intruder Bearing,Descent,214.115099613
8305592,TCAS Intruder Bearing,Grounded,153.66682638522428
8305592,TCAS Intruder Bearing,Airborne,183.361488
8305592,TCAS Intruder Bearing,Final Approach,258.383498901
8305592,TCAS Intruder Bearing,Landing,283.756161702
8305592,TCAS Intruder Bearing,Approach,268.981238824
8305592,TCAS Intruder Bearing,Taxi Out,181.926589985
8305592,TCAS Intruder Bearing,Approach And Landing,274.338885283
8305592,TCAS Intruder Bearing,Descending,219.317598179
8305592,TCAS Intruder Bearing,Climbing,146.393062437
8305592,TCAS Intruder Bearing,Turning On Ground,204.680033333
8305592,TCAS Intruder Bearing,Mobile,173.690734539
8305592,TCAS Intruder Bearing,Cruise,173.430338675
8305592,TCAS Intruder Bearing,Climb Cruise Descent,183.361488
8305592,TCAS Intruder Bearing,Takeoff Rotation,272.45484
8305592,TCAS Intruder Bearing,Fast,183.801756302
8305592,TCAS Intruder Bearing,Climb,158.698025441
8305592,TCAS Intruder Bearing,Level Flight,177.624112821
8305592,TCAS Intruder Bearing,Turning In Air,66.1398666667
8305592,TCAS Intruder Bearing,Takeoff Roll,304.3098
8305592,TCAS Intruder Bearing,Taxi In,222.257944509
8305592,TCAS Intruder Bearing,Takeoff,307.031864516
8305592,TCAS Intruder Bearing,Landing Roll,288.274328571
8305592,TCAS Intruder Number (LBL 130),Taxiing,10.6924731183
8305592,TCAS Intruder Number (LBL 130),Descent,14.8116129032
8305592,TCAS Intruder Number (LBL 130),Grounded,3.8663148636763411
8305592,TCAS Intruder Number (LBL 130),Airborne,15.5292832765
8305592,TCAS Intruder Number (LBL 130),Final Approach,15.978021978
8305592,TCAS Intruder Number (LBL 130),Landing,14.829787234
8305592,TCAS Intruder Number (LBL 130),Approach,15.5470588235
8305592,TCAS Intruder Number (LBL 130),Taxi Out,9.68285280728
8305592,TCAS Intruder Number (LBL 130),Approach And Landing,15.3358490566
8305592,TCAS Intruder Number (LBL 130),Descending,15.1105039466
8305592,TCAS Intruder Number (LBL 130),Climbing,15.6937394247
8305592,TCAS Intruder Number (LBL 130),Turning On Ground,10.8888888889
8305592,TCAS Intruder Number (LBL 130),Mobile,11.8635585157
8305592,TCAS Intruder Number (LBL 130),Cruise,16.0162625665
8305592,TCAS Intruder Number (LBL 130),Climb Cruise Descent,15.5292832765
8305592,TCAS Intruder Number (LBL 130),Takeoff Rotation,15.0
8305592,TCAS Intruder Number (LBL 130),Fast,15.5499660095
8305592,TCAS Intruder Number (LBL 130),Climb,15.620906801
8305592,TCAS Intruder Number (LBL 130),Level Flight,15.7669207669
8305592,TCAS Intruder Number (LBL 130),Turning In Air,23.5648148148
8305592,TCAS Intruder Number (LBL 130),Takeoff Roll,15.0
8305592,TCAS Intruder Number (LBL 130),Taxi In,9.35260115607
8305592,TCAS Intruder Number (LBL 130),Takeoff,15.0
8305592,TCAS Intruder Number (LBL 130),Landing Roll,27.0
8305592,TCAS Advisory Rate To Maintain,Taxiing,0.0
8305592,TCAS Advisory Rate To Maintain,Descent,0.0
8305592,TCAS Advisory Rate To Maintain,Grounded,0.0
8305592,TCAS Advisory Rate To Maintain,Airborne,0.0
8305592,TCAS Advisory Rate To Maintain,Final Approach,0.0
8305592,TCAS Advisory Rate To Maintain,Landing,0.0
8305592,TCAS Advisory Rate To Maintain,Approach,0.0
8305592,TCAS Advisory Rate To Maintain,Taxi Out,0.0
8305592,TCAS Advisory Rate To Maintain,Approach And Landing,0.0
8305592,TCAS Advisory Rate To Maintain,Descending,0.0
8305592,TCAS Advisory Rate To Maintain,Climbing,0.0
8305592,TCAS Advisory Rate To Maintain,Turning On Ground,0.0
8305592,TCAS Advisory Rate To Maintain,Mobile,0.0
8305592,TCAS Advisory Rate To Maintain,Cruise,0.0
8305592,TCAS Advisory Rate To Maintain,Climb Cruise Descent,0.0
8305592,TCAS Advisory Rate To Maintain,Takeoff Rotation,0.0
8305592,TCAS Advisory Rate To Maintain,Fast,0.0
8305592,TCAS Advisory Rate To Maintain,Climb,0.0
8305592,TCAS Advisory Rate To Maintain,Level Flight,0.0
8305592,TCAS Advisory Rate To Maintain,Turning In Air,0.0
8305592,TCAS Advisory Rate To Maintain,Takeoff Roll,0.0
8305592,TCAS Advisory Rate To Maintain,Taxi In,0.0
8305592,TCAS Advisory Rate To Maintain,Takeoff,0.0
8305592,TCAS Advisory Rate To Maintain,Landing Roll,0.0
8305592,Track,Taxiing,189.63251073
8305592,Track,Descent,313.201717334
8305592,Track,Grounded,109.59461588833875
8305592,Track,Airborne,311.991370199
8305592,Track,Final Approach,310.024641286
8305592,Track,Landing,308.578345116
8305592,Track,Approach,310.048728494
8305592,Track,Taxi Out,103.986630889
8305592,Track,Approach And Landing,309.522690737
8305592,Track,Descending,309.581134652
8305592,Track,Climbing,263.150581877
8305592,Track,Turning On Ground,185.442708333
8305592,Track,Mobile,248.13597261235955
8305592,Track,Cruise,329.571634447
8305592,Track,Climb Cruise Descent,311.991370199
8305592,Track,Takeoff Rotation,343.154296875
8305592,Track,Fast,312.054445351
8305592,Track,Climb,272.200342558
8305592,Track,Level Flight,326.170884413
8305592,Track,Turning In Air,147.625261943
8305592,Track,Takeoff Roll,343.611778846
8305592,Track,Taxi In,268.180868459
8305592,Track,Takeoff,344.633316532
8305592,Track,Landing Roll,309.149780273
8305592,TCAS Intruder Number (LBL 131),Taxiing,10.6924731183
8305592,TCAS Intruder Number (LBL 131),Descent,14.8116129032
8305592,TCAS Intruder Number (LBL 131),Grounded,4.3632365875109942
8305592,TCAS Intruder Number (LBL 131),Airborne,15.3740614334
8305592,TCAS Intruder Number (LBL 131),Final Approach,15.978021978
8305592,TCAS Intruder Number (LBL 131),Landing,14.829787234
8305592,TCAS Intruder Number (LBL 131),Approach,15.5470588235
8305592,TCAS Intruder Number (LBL 131),Taxi Out,9.71927162367
8305592,TCAS Intruder Number (LBL 131),Approach And Landing,15.3358490566
8305592,TCAS Intruder Number (LBL 131),Descending,15.1105039466
8305592,TCAS Intruder Number (LBL 131),Climbing,15.6937394247
8305592,TCAS Intruder Number (LBL 131),Turning On Ground,10.8888888889
8305592,TCAS Intruder Number (LBL 131),Mobile,11.9166508088
8305592,TCAS Intruder Number (LBL 131),Cruise,15.6800709639
8305592,TCAS Intruder Number (LBL 131),Climb Cruise Descent,15.3740614334
