flight_pk,parameter,phases,value
8287088,Baro Correction,Taxiing,967.612903226
8287088,Baro Correction,Descent,1010.47901235
8287088,Baro Correction,Grounded,963.57575757575762
8287088,Baro Correction,Airborne,1010.51744186
8287088,Baro Correction,Final Approach,1006.0
8287088,Baro Correction,Approach And Landing,1006.34285714
8287088,Baro Correction,Approach,1006.4
8287088,Baro Correction,Taxi Out,936.0
8287088,Baro Correction,Landing,1006.0
8287088,Baro Correction,Descending,1009.45320197
8287088,Baro Correction,Climbing,1005.1377551
8287088,Baro Correction,Turning On Ground,982.666666667
8287088,Baro Correction,Mobile,1006.40419948
8287088,Baro Correction,Takeoff,936.0
8287088,Baro Correction,Climb Cruise Descent,1010.51744186
8287088,Baro Correction,Takeoff Rotation,936.0
8287088,Baro Correction,Fast,1010.21346154
8287088,Baro Correction,Climb,1008.28061224
8287088,Baro Correction,Level Flight,1012.6221374
8287088,Baro Correction,Landing Roll,1006.0
8287088,Baro Correction,Takeoff Roll,936.0
8287088,Baro Correction,Cruise,1013.0
8287088,Baro Correction,Turning In Air,983.333333333
8287088,Subframe Counter,Taxiing,2164.62972973
8287088,Subframe Counter,Descent,1393.5
8287088,Subframe Counter,Grounded,2123.8500948766605
8287088,Subframe Counter,Airborne,2048.61491887
8287088,Subframe Counter,Final Approach,2143.5
8287088,Subframe Counter,Approach And Landing,2099.0
8287088,Subframe Counter,Approach,2077.5
8287088,Subframe Counter,Taxi Out,2032.5
8287088,Subframe Counter,Landing,2218.5
8287088,Subframe Counter,Descending,1558.04305043
8287088,Subframe Counter,Climbing,2563.5
8287088,Subframe Counter,Turning On Ground,2264.96969697
8287088,Subframe Counter,Mobile,2060.20166229
8287088,Subframe Counter,Takeoff,2153.0
8287088,Subframe Counter,Climb Cruise Descent,2048.58527132
8287088,Subframe Counter,Takeoff Rotation,2170.0
8287088,Subframe Counter,Fast,2049.61312816
8287088,Subframe Counter,Climb,2595.0
8287088,Subframe Counter,Level Flight,2235.99713604
8287088,Subframe Counter,Landing Roll,2224.0
8287088,Subframe Counter,Takeoff Roll,2155.0
8287088,Subframe Counter,Cruise,2420.08564678
8287088,Subframe Counter,Turning In Air,1998.18181818
8287088,Zero Fuel Weight,Taxiing,8592.0
8287088,Zero Fuel Weight,Descent,8592.0
8287088,Zero Fuel Weight,Grounded,8592.0
8287088,Zero Fuel Weight,Airborne,8592.0
8287088,Zero Fuel Weight,Final Approach,8592.0
8287088,Zero Fuel Weight,Approach And Landing,8592.0
8287088,Zero Fuel Weight,Approach,8592.0
8287088,Zero Fuel Weight,Taxi Out,8592.0
8287088,Zero Fuel Weight,Landing,8592.0
8287088,Zero Fuel Weight,Descending,8592.0
8287088,Zero Fuel Weight,Climbing,8592.0
8287088,Zero Fuel Weight,Turning On Ground,8592.0
8287088,Zero Fuel Weight,Mobile,8592.0
8287088,Zero Fuel Weight,Takeoff,8592.0
8287088,Zero Fuel Weight,Climb Cruise Descent,8592.0
8287088,Zero Fuel Weight,Takeoff Rotation,8592.0
8287088,Zero Fuel Weight,Fast,8592.0
8287088,Zero Fuel Weight,Climb,8592.0
8287088,Zero Fuel Weight,Level Flight,8592.0
8287088,Zero Fuel Weight,Landing Roll,8592.0
8287088,Zero Fuel Weight,Takeoff Roll,8592.0
8287088,Zero Fuel Weight,Cruise,8592.0
8287088,Zero Fuel Weight,Turning In Air,8592.0
8287088,Roll Rate,Taxiing,-0.00178156672297
8287088,Roll Rate,Descent,-0.00119357638889
8287088,Roll Rate,Grounded,0.0023392942015209124
8287088,Roll Rate,Airborne,-0.000223504858925
8287088,Roll Rate,Final Approach,0.00569661458333
8287088,Roll Rate,Approach And Landing,-0.00437889234875
8287088,Roll Rate,Approach,-0.0251116071429
8287088,Roll Rate,Taxi Out,0.0006591796875
8287088,Roll Rate,Landing,0.00941685267857
8287088,Roll Rate,Descending,-0.00637828643911
8287088,Roll Rate,Climbing,0.0014573700574
8287088,Roll Rate,Turning On Ground,-0.0625887784091
8287088,Roll Rate,Mobile,0.000182624876969
8287088,Roll Rate,Takeoff,-0.0552133413462
8287088,Roll Rate,Climb Cruise Descent,6.38740007267e-05
8287088,Roll Rate,Takeoff Rotation,-0.0650390625
8287088,Roll Rate,Fast,0.000665677972469
8287088,Roll Rate,Climb,-0.00331133261494
8287088,Roll Rate,Level Flight,0.00165712634248
8287088,Roll Rate,Landing Roll,-0.0213068181818
8287088,Roll Rate,Takeoff Roll,0.0017578125
8287088,Roll Rate,Cruise,0.000804669041642
8287088,Roll Rate,Turning In Air,-0.0998757102273
8287088,Turbulence,Taxiing,0.035347954549
8287088,Turbulence,Descent,0.0128561693292
8287088,Turbulence,Grounded,0.033355309272527132
8287088,Turbulence,Airborne,0.0109934482493
8287088,Turbulence,Final Approach,0.0415137498378
8287088,Turbulence,Approach And Landing,0.0312117884238
8287088,Turbulence,Approach,0.0286355023737
8287088,Turbulence,Taxi Out,0.0405275405641
8287088,Turbulence,Landing,0.0449011455423
8287088,Turbulence,Descending,0.0158278612983
8287088,Turbulence,Climbing,0.0151515539732
8287088,Turbulence,Turning On Ground,0.0380821231582
8287088,Turbulence,Mobile,0.0133775183934
8287088,Turbulence,Takeoff,0.0347179718501
8287088,Turbulence,Climb Cruise Descent,0.0109838216169
8287088,Turbulence,Takeoff Rotation,0.0508680666952
