flight_pk,parameter,phases,value
8318703,Roll Rate,Taxi Out,0.0
8318703,Roll Rate,Approach And Landing,-0.00193673794801
8318703,Roll Rate,Descent,-0.000292400790981
8318703,Roll Rate,Grounded,0.00137922056937
8318703,Roll Rate,Mobile,-2.14615603273e-19
8318703,Roll Rate,Approach,-0.0091974918869
8318703,Roll Rate,Cruise,-7.12732923223e-08
8318703,Roll Rate,Final Approach,-0.0138658013941
8318703,Roll Rate,Climb Cruise Descent,-7.84107125418e-05
8318703,Roll Rate,Takeoff Rotation,0.0111244682346
8318703,Roll Rate,Climb,5.53314970237e-06
8318703,Roll Rate,Descending,-0.00407753756187
8318703,Roll Rate,Airborne,-7.86762761848e-05
8318703,Roll Rate,Fast,-1.90907329077e-05
8318703,Roll Rate,Takeoff,0.0159675101355
8318703,Roll Rate,Climbing,-0.00333670808936
8318703,Roll Rate,Landing Roll,0.0
8318703,Roll Rate,Landing,0.0106006502906
8318703,Roll Rate,Level Flight,-1.92244002301e-05
8318703,Roll Rate,Turning In Air,-0.114066164814
8318703,Roll Rate,Takeoff Roll,0.0397858679436
8318703,Pitch Rate,Taxi Out,-0.000628170024391
8318703,Pitch Rate,Approach And Landing,0.00154565232147
8318703,Pitch Rate,Descent,-0.00158072754079
8318703,Pitch Rate,Grounded,0.00381608508809
8318703,Pitch Rate,Mobile,-1.30692379182e-05
8318703,Pitch Rate,Approach,-0.00478544915901
8318703,Pitch Rate,Cruise,-9.50462554435e-05
8318703,Pitch Rate,Final Approach,0.0282130521886
8318703,Pitch Rate,Climb Cruise Descent,-0.000248841240592
8318703,Pitch Rate,Takeoff Rotation,0.289686559993
8318703,Pitch Rate,Climb,-0.000614630737658
8318703,Pitch Rate,Descending,0.00696910715998
8318703,Pitch Rate,Airborne,-0.000231198645809
8318703,Pitch Rate,Fast,-4.03224987158e-05
8318703,Pitch Rate,Takeoff,0.0624016016395
8318703,Pitch Rate,Climbing,-0.00106106181579
8318703,Pitch Rate,Landing Roll,-0.000556582905291
8318703,Pitch Rate,Landing,0.0107446233861
8318703,Pitch Rate,Level Flight,-0.000358755023207
8318703,Pitch Rate,Turning In Air,0.0400117670863
8318703,Pitch Rate,Takeoff Roll,0.103661142551
8318703,Counter FDR,Taxi Out,132.0
8318703,Counter FDR,Approach And Landing,6716.0
8318703,Counter FDR,Descent,6513.0
8318703,Counter FDR,Grounded,1388.77628032
8318703,Counter FDR,Mobile,3419.0
8318703,Counter FDR,Approach,6697.5
8318703,Counter FDR,Cruise,3473.5
8318703,Counter FDR,Final Approach,6723.5
8318703,Counter FDR,Climb Cruise Descent,3482.5
8318703,Counter FDR,Takeoff Rotation,231.5
8318703,Counter FDR,Climb,449.5
8318703,Counter FDR,Descending,6516.72727273
8318703,Counter FDR,Airborne,3482.5
8318703,Counter FDR,Fast,3480.5
8318703,Counter FDR,Takeoff,219.5
8318703,Counter FDR,Climbing,306.567375887
8318703,Counter FDR,Landing Roll,6766.0
8318703,Counter FDR,Landing,6750.0
8318703,Counter FDR,Level Flight,3467.97424577
8318703,Counter FDR,Turning In Air,3357.26086957
8318703,Counter FDR,Takeoff Roll,225.5
8105863,Roll Rate,Taxiing,0.00091552734375
8105863,Roll Rate,Descent,-0.000256614963504
8105863,Roll Rate,Grounded,0.00183577633445
8105863,Roll Rate,Airborne,-0.000522932104608
8105863,Roll Rate,Final Approach,-0.0415373501712
8105863,Roll Rate,Approach And Landing,0.00312542093211
8105863,Roll Rate,Approach,-0.00301279920213
8105863,Roll Rate,Taxi Out,0.000248559459842
8105863,Roll Rate,Landing,0.0664538871951
8105863,Roll Rate,Descending,-0.000518079273578
8105863,Roll Rate,Climbing,0.0122934833127
8105863,Roll Rate,Turning On Ground,0.017578125
8105863,Roll Rate,Mobile,-0.000168696017274
8105863,Roll Rate,Takeoff,-0.0078125
8105863,Roll Rate,Climb Cruise Descent,-0.000475444255112
8105863,Roll Rate,Takeoff Rotation,-0.0544921875
8105863,Roll Rate,Fast,-0.000109033677184
8105863,Roll Rate,Climb,0.00959394802739
8105863,Roll Rate,Level Flight,0.0066227569175
8105863,Roll Rate,Landing Roll,0.0412819602273
8105863,Roll Rate,Takeoff Roll,0.0272042410714
8105863,Roll Rate,Taxi In,0.0124782986111
8105863,Roll Rate,Cruise,-1.17595163233e-05
8105863,Roll Rate,Turning In Air,0.183712208765
8105863,Turbulence,Taxiing,0.0068827303482583172
8105863,Turbulence,Descent,0.025656713237163616
8105863,Turbulence,Grounded,0.008037380350534213
8105863,Turbulence,Airborne,0.024662373165453059
8105863,Turbulence,Final Approach,0.049309082453939432
8105863,Turbulence,Approach And Landing,0.048745825543465703
8105863,Turbulence,Approach,0.048612164424583611
8105863,Turbulence,Taxi Out,0.0075150507791523083
8105863,Turbulence,Landing,0.050155950347671799
8105863,Turbulence,Descending,0.023776982571620503
8105863,Turbulence,Climbing,0.026211209766858704
8105863,Turbulence,Turning On Ground,0.0225608343404
8105863,Turbulence,Mobile,0.021630042053485399
8105863,Turbulence,Takeoff,0.017237062084047614
8105863,Turbulence,Climb Cruise Descent,0.024660499559391966
8105863,Turbulence,Takeoff Rotation,0.049899141871749771
8105863,Turbulence,Fast,0.024801246567269702
8105863,Turbulence,Climb,0.023687269908052883
8105863,Turbulence,Level Flight,0.020522646145612448
8105863,Turbulence,Landing Roll,0.047195587551766838
8105863,Turbulence,Takeoff Roll,0.055727083290279589
8105863,Turbulence,Taxi In,0.0179020471109
8105863,Turbulence,Cruise,0.010046915784856119
8105863,Turbulence,Turning In Air,0.039626245219478516
8105863,Pitch Rate,Taxiing,0.00100412676411
8105863,Pitch Rate,Descent,0.000342153284672
8105863,Pitch Rate,Grounded,0.000815900593089
8105863,Pitch Rate,Airborne,-0.000527686032832
8105863,Pitch Rate,Final Approach,0.0216716609589
8105863,Pitch Rate,Approach And Landing,0.0211202687231
8105863,Pitch Rate,Approach,0.0205701462766
8105863,Pitch Rate,Taxi Out,0.000546830811652
8105863,Pitch Rate,Landing,0.0267959222561
8105863,Pitch Rate,Descending,0.00499794122746
8105863,Pitch Rate,Climbing,-0.0149389164306
8105863,Pitch Rate,Turning On Ground,-0.00439453125
8105863,Pitch Rate,Mobile,-8.03314367974e-06
8105863,Pitch Rate,Takeoff,0.0341796875
8105863,Pitch Rate,Climb Cruise Descent,-0.000580041991237
8105863,Pitch Rate,Takeoff Rotation,0.2478515625
8105863,Pitch Rate,Fast,-0.000132736650485
8105863,Pitch Rate,Climb,-0.00413222480581
8105863,Pitch Rate,Level Flight,-0.000717914028997
8105863,Pitch Rate,Landing Roll,-0.0266335227273
8105863,Pitch Rate,Takeoff Roll,0.0732421875
8105863,Pitch Rate,Taxi In,0.00596788194444
8105863,Pitch Rate,Cruise,-0.00169337035055
8105863,Pitch Rate,Turning In Air,-0.0231427977071
8105863,Prop Beta,Taxiing,34.8806836528
8105863,Prop Beta,Descent,87.0810689439
8105863,Prop Beta,Grounded,39.3367886556
8105863,Prop Beta,Airborne,87.0824120397
8105863,Prop Beta,Final Approach,87.0829041363
8105863,Prop Beta,Approach And Landing,83.6731299039
8105863,Prop Beta,Approach,87.0802339594
8105863,Prop Beta,Taxi Out,35.7065606441
8105863,Prop Beta,Landing,48.5217880621
8105863,Prop Beta,Descending,87.0817432589
8105863,Prop Beta,Climbing,87.0832465931
8105863,Prop Beta,Turning On Ground,48.83203125
8105863,Prop Beta,Mobile,79.8122567296
8105863,Prop Beta,Takeoff,85.4953613281
8105863,Prop Beta,Climb Cruise Descent,87.0824149335
8105863,Prop Beta,Takeoff Rotation,87.0824707031
8105863,Prop Beta,Fast,87.0629053208
8105863,Prop Beta,Climb,87.0820743689
8105863,Prop Beta,Level Flight,87.0827002561
8105863,Prop Beta,Landing Roll,39.1745827415
8105863,Prop Beta,Takeoff Roll,87.0826067243
8105863,Prop Beta,Taxi In,36.5633138021
8105863,Prop Beta,Cruise,87.0829990582
8105863,Prop Beta,Turning In Air,87.0830973789
8318728,Roll Rate,Taxi Out,0.0
8318728,Roll Rate,Approach And Landing,0.0317803372239
8318728,Roll Rate,Descent,0.00536565061653
8318728,Roll Rate,Grounded,-0.000470160972694
8318728,Roll Rate,Mobile,7.80500562146e-21
8318728,Roll Rate,Approach,0.0374418280006
8318728,Roll Rate,Takeoff,-0.00377459209133
8318728,Roll Rate,Final Approach,-0.0162314927723
8318728,Roll Rate,Climb Cruise Descent,9.13276814185e-06
8318728,Roll Rate,Takeoff Rotation,0.0159110670778
8318728,Roll Rate,Climb,-0.168555132655
8318728,Roll Rate,Descending,0.00659601795221
8318728,Roll Rate,Airborne,1.00678300275e-05
8318728,Roll Rate,Fast,6.26837924995e-06
8318728,Roll Rate,Cruise,0.000395340334735
8318728,Roll Rate,Climbing,-0.00314983643581
8318728,Roll Rate,Landing Roll,0.00291227704416
8318728,Roll Rate,Landing,3.77930962313e-06
8318728,Roll Rate,Level Flight,-0.000104933232093
8318728,Roll Rate,Turning In Air,0.0469376981297
8318728,Roll Rate,Takeoff Roll,-0.0181423463035
8318728,Pitch Rate,Taxi Out,-0.00319303857907
8318728,Pitch Rate,Approach And Landing,0.00793364790256
8318728,Pitch Rate,Descent,0.00205392611825
8318728,Pitch Rate,Grounded,0.00716598949635
8318728,Pitch Rate,Mobile,-1.23576399873e-05
8318728,Pitch Rate,Approach,0.00761119194454
8318728,Pitch Rate,Takeoff,0.0628215419691
8318728,Pitch Rate,Final Approach,0.0203289797889
8318728,Pitch Rate,Climb Cruise Descent,-0.000186516693444
8318728,Pitch Rate,Takeoff Rotation,0.225545203877
8318728,Pitch Rate,Climb,-0.0162106813137
8318728,Pitch Rate,Descending,0.00959260585802
8318728,Pitch Rate,Airborne,-0.000165954831459
8318728,Pitch Rate,Fast,-3.9331225553e-05
8318728,Pitch Rate,Cruise,-0.00031985109027
8318728,Pitch Rate,Climbing,-0.00618954333794
8318728,Pitch Rate,Landing Roll,-0.0126493566176
8318728,Pitch Rate,Landing,0.00513889196492
8318728,Pitch Rate,Level Flight,-6.55366905285e-05
8318728,Pitch Rate,Turning In Air,-0.0313734183661
8318728,Pitch Rate,Takeoff Roll,0.111432756696
8318728,Counter FDR,Taxi Out,82.0
8318728,Counter FDR,Approach And Landing,4608.64963504
8318728,Counter FDR,Descent,6049.94117647
8318728,Counter FDR,Grounded,1340.72
8318728,Counter FDR,Mobile,3622.5
8318728,Counter FDR,Approach,4146.5862069
8318728,Counter FDR,Takeoff,111.5
8318728,Counter FDR,Final Approach,7139.5
8318728,Counter FDR,Climb Cruise Descent,3638.5
8318728,Counter FDR,Takeoff Rotation,124.5
8318728,Counter FDR,Climb,151.5
8318728,Counter FDR,Descending,6305.91489362
8318728,Counter FDR,Airborne,3638.0
8318728,Counter FDR,Fast,3638.0
8318728,Counter FDR,Cruise,3678.29599359
8318728,Counter FDR,Climbing,322.983783784
8318728,Counter FDR,Landing Roll,7162.0
8318728,Counter FDR,Landing,7161.0
8318728,Counter FDR,Level Flight,3751.95983673
8318728,Counter FDR,Turning In Air,360.5
8318728,Counter FDR,Takeoff Roll,120.0
8318729,Roll Rate,Taxiing,0.0
8318729,Roll Rate,Descent,-0.0010524230504
8318729,Roll Rate,Grounded,-0.00219729182381
8318729,Roll Rate,Airborne,0.000586341621458
8318729,Roll Rate,Final Approach,-0.034084405871
8318729,Roll Rate,Approach And Landing,-0.00355101504859
8318729,Roll Rate,Approach,-0.00589875452372
8318729,Roll Rate,Taxi Out,0.0
8318729,Roll Rate,Landing,0.00556774117364
8318729,Roll Rate,Descending,0.0370912807248
8318729,Roll Rate,Climbing,0.00490755864986
8318729,Roll Rate,Turning On Ground,0.0
8318729,Roll Rate,Mobile,2.71531158575e-19
8318729,Roll Rate,Cruise,-0.00126965875151
8318729,Roll Rate,Climb Cruise Descent,0.000874552565964
