flight_pk,parameter,phases,value
8318937,Speedbrake,Taxiing,0.777536935685
8318937,Speedbrake,Descent,0.0167111316359
8318937,Speedbrake,Grounded,0.31010359180775826
8318937,Speedbrake,Airborne,0.00849957212275
8318937,Speedbrake,Final Approach,0.0
8318937,Speedbrake,Approach And Landing,1.56405722128
8318937,Speedbrake,Approach,0.0
8318937,Speedbrake,Taxi Out,0.0709685114504
8318937,Speedbrake,Landing,9.64501953125
8318937,Speedbrake,Descending,0.0
8318937,Speedbrake,Climbing,0.0
8318937,Speedbrake,Turning On Ground,1.0554451778
8318937,Speedbrake,Mobile,0.175947159627
8318937,Speedbrake,Takeoff,0.0
8318937,Speedbrake,Climb Cruise Descent,0.00850282866379
8318937,Speedbrake,Takeoff Rotation,0.0
8318937,Speedbrake,Fast,0.0506744732346
8318937,Speedbrake,Climb,0.0
8318937,Speedbrake,Level Flight,0.0
8318937,Speedbrake,Landing Roll,11.1307198661
8318937,Speedbrake,Takeoff Roll,0.0
8318937,Speedbrake,Taxi In,0.624523107234
8318937,Speedbrake,Cruise,0.0
8318937,Speedbrake,Turning In Air,0.0
8318937,Zero Fuel Weight,Taxiing,6662.0
8318937,Zero Fuel Weight,Descent,6662.0
8318937,Zero Fuel Weight,Grounded,6662.0
8318937,Zero Fuel Weight,Airborne,6662.0
8318937,Zero Fuel Weight,Final Approach,6662.0
8318937,Zero Fuel Weight,Approach And Landing,6662.0
8318937,Zero Fuel Weight,Approach,6662.0
8318937,Zero Fuel Weight,Taxi Out,6662.0
8318937,Zero Fuel Weight,Landing,6662.0
8318937,Zero Fuel Weight,Descending,6662.0
8318937,Zero Fuel Weight,Climbing,6662.0
8318937,Zero Fuel Weight,Turning On Ground,6662.0
8318937,Zero Fuel Weight,Mobile,6662.0
8318937,Zero Fuel Weight,Takeoff,6662.0
8318937,Zero Fuel Weight,Climb Cruise Descent,6662.0
8318937,Zero Fuel Weight,Takeoff Rotation,6662.0
8318937,Zero Fuel Weight,Fast,6662.0
8318937,Zero Fuel Weight,Climb,6662.0
8318937,Zero Fuel Weight,Level Flight,6662.0
8318937,Zero Fuel Weight,Landing Roll,6662.0
8318937,Zero Fuel Weight,Takeoff Roll,6662.0
8318937,Zero Fuel Weight,Taxi In,6662.0
8318937,Zero Fuel Weight,Cruise,6662.0
8318937,Zero Fuel Weight,Turning In Air,6662.0
8318937,Vertical Speed Recorded,Taxiing,0.0
8318937,Vertical Speed Recorded,Descent,-334.43373494
8318937,Vertical Speed Recorded,Grounded,0.0
8318937,Vertical Speed Recorded,Airborne,-146.981595092
8318937,Vertical Speed Recorded,Final Approach,0.0
8318937,Vertical Speed Recorded,Approach And Landing,0.0
8318937,Vertical Speed Recorded,Approach,0.0
8318937,Vertical Speed Recorded,Taxi Out,0.0
8318937,Vertical Speed Recorded,Landing,0.0
8318937,Vertical Speed Recorded,Descending,-360.493506494
8318937,Vertical Speed Recorded,Climbing,73.0769230769
8318937,Vertical Speed Recorded,Turning On Ground,0.0
8318937,Vertical Speed Recorded,Mobile,-90.492917847
8318937,Vertical Speed Recorded,Takeoff,0.0
8318937,Vertical Speed Recorded,Climb Cruise Descent,-146.981595092
8318937,Vertical Speed Recorded,Takeoff Rotation,0.0
8318937,Vertical Speed Recorded,Fast,-145.420333839
8318937,Vertical Speed Recorded,Climb,66.0869565217
8318937,Vertical Speed Recorded,Level Flight,0.0
8318937,Vertical Speed Recorded,Landing Roll,0.0
8318937,Vertical Speed Recorded,Takeoff Roll,0.0
8318937,Vertical Speed Recorded,Taxi In,0.0
8318937,Vertical Speed Recorded,Cruise,0.0
8318937,Vertical Speed Recorded,Turning In Air,-235.428571429
8318937,Roll Rate,Taxiing,0.000518466424682
8318937,Roll Rate,Descent,-0.000198569277108
8318937,Roll Rate,Grounded,0.0012726833976833976
